0,1,2
Date,Time,PM25
,,ug/m3
12/31/2015,24:00 AM,
1/1/2016,1:00 AM,
1/1/2016,2:00 AM,
1/1/2016,3:00 AM,
1/1/2016,4:00 AM,
1/1/2016,5:00 AM,
1/1/2016,6:00 AM,
1/1/2016,7:00 AM,
1/1/2016,8:00 AM,
1/1/2016,9:00 AM,
1/1/2016,10:00 AM,
1/1/2016,11:00 AM,
1/1/2016,12:00 PM,
1/1/2016,1:00 PM,
1/1/2016,2:00 PM,
1/1/2016,3:00 PM,
1/1/2016,4:00 PM,
1/1/2016,5:00 PM,
1/1/2016,6:00 PM,
1/1/2016,7:00 PM,
1/1/2016,8:00 PM,
1/1/2016,9:00 PM,
1/1/2016,10:00 PM,
1/1/2016,11:00 PM,
1/1/2016,24:00 AM,
1/2/2016,1:00 AM,
1/2/2016,2:00 AM,
1/2/2016,3:00 AM,
1/2/2016,4:00 AM,
1/2/2016,5:00 AM,
1/2/2016,6:00 AM,
1/2/2016,7:00 AM,
1/2/2016,8:00 AM,
1/2/2016,9:00 AM,
1/2/2016,10:00 AM,
1/2/2016,11:00 AM,
1/2/2016,12:00 PM,
1/2/2016,1:00 PM,
1/2/2016,2:00 PM,
1/2/2016,3:00 PM,
1/2/2016,4:00 PM,
1/2/2016,5:00 PM,
1/2/2016,6:00 PM,
1/2/2016,7:00 PM,
1/2/2016,8:00 PM,
1/2/2016,9:00 PM,
1/2/2016,10:00 PM,
1/2/2016,11:00 PM,
1/2/2016,24:00 AM,
1/3/2016,1:00 AM,
1/3/2016,2:00 AM,
1/3/2016,3:00 AM,
1/3/2016,4:00 AM,
1/3/2016,5:00 AM,
1/3/2016,6:00 AM,
1/3/2016,7:00 AM,
1/3/2016,8:00 AM,
1/3/2016,9:00 AM,
1/3/2016,10:00 AM,
1/3/2016,11:00 AM,
1/3/2016,12:00 PM,
1/3/2016,1:00 PM,
1/3/2016,2:00 PM,
1/3/2016,3:00 PM,
1/3/2016,4:00 PM,
1/3/2016,5:00 PM,
1/3/2016,6:00 PM,
1/3/2016,7:00 PM,
1/3/2016,8:00 PM,
1/3/2016,9:00 PM,
1/3/2016,10:00 PM,
1/3/2016,11:00 PM,
1/3/2016,24:00 AM,
1/4/2016,1:00 AM,
1/4/2016,2:00 AM,
1/4/2016,3:00 AM,
1/4/2016,4:00 AM,
1/4/2016,5:00 AM,
1/4/2016,6:00 AM,
1/4/2016,7:00 AM,
1/4/2016,8:00 AM,
1/4/2016,9:00 AM,
1/4/2016,10:00 AM,
1/4/2016,11:00 AM,
1/4/2016,12:00 PM,
1/4/2016,1:00 PM,
1/4/2016,2:00 PM,
1/4/2016,3:00 PM,
1/4/2016,4:00 PM,
1/4/2016,5:00 PM,
1/4/2016,6:00 PM,
1/4/2016,7:00 PM,
1/4/2016,8:00 PM,
1/4/2016,9:00 PM,
1/4/2016,10:00 PM,
1/4/2016,11:00 PM,
1/4/2016,24:00 AM,
1/5/2016,1:00 AM,
1/5/2016,2:00 AM,
1/5/2016,3:00 AM,
1/5/2016,4:00 AM,
1/5/2016,5:00 AM,
1/5/2016,6:00 AM,
1/5/2016,7:00 AM,
1/5/2016,8:00 AM,
1/5/2016,9:00 AM,
1/5/2016,10:00 AM,
1/5/2016,11:00 AM,
1/5/2016,12:00 PM,
1/5/2016,1:00 PM,
1/5/2016,2:00 PM,
1/5/2016,3:00 PM,
1/5/2016,4:00 PM,
1/5/2016,5:00 PM,
1/5/2016,6:00 PM,
1/5/2016,7:00 PM,
1/5/2016,8:00 PM,
1/5/2016,9:00 PM,
1/5/2016,10:00 PM,
1/5/2016,11:00 PM,
1/5/2016,24:00 AM,
1/6/2016,1:00 AM,
1/6/2016,2:00 AM,
1/6/2016,3:00 AM,
1/6/2016,4:00 AM,
1/6/2016,5:00 AM,
1/6/2016,6:00 AM,
1/6/2016,7:00 AM,
1/6/2016,8:00 AM,
1/6/2016,9:00 AM,
1/6/2016,10:00 AM,
1/6/2016,11:00 AM,
1/6/2016,12:00 PM,
1/6/2016,1:00 PM,
1/6/2016,2:00 PM,
1/6/2016,3:00 PM,
1/6/2016,4:00 PM,
1/6/2016,5:00 PM,
1/6/2016,6:00 PM,
1/6/2016,7:00 PM,
1/6/2016,8:00 PM,
1/6/2016,9:00 PM,
1/6/2016,10:00 PM,
1/6/2016,11:00 PM,
1/6/2016,24:00 AM,
1/7/2016,1:00 AM,
1/7/2016,2:00 AM,
1/7/2016,3:00 AM,
1/7/2016,4:00 AM,
1/7/2016,5:00 AM,
1/7/2016,6:00 AM,
1/7/2016,7:00 AM,
1/7/2016,8:00 AM,
1/7/2016,9:00 AM,
1/7/2016,10:00 AM,
1/7/2016,11:00 AM,
1/7/2016,12:00 PM,
1/7/2016,1:00 PM,
1/7/2016,2:00 PM,
1/7/2016,3:00 PM,
1/7/2016,4:00 PM,
1/7/2016,5:00 PM,
1/7/2016,6:00 PM,
1/7/2016,7:00 PM,
1/7/2016,8:00 PM,
1/7/2016,9:00 PM,
1/7/2016,10:00 PM,
1/7/2016,11:00 PM,
1/7/2016,24:00 AM,
1/8/2016,1:00 AM,
1/8/2016,2:00 AM,
1/8/2016,3:00 AM,
1/8/2016,4:00 AM,
1/8/2016,5:00 AM,
1/8/2016,6:00 AM,
1/8/2016,7:00 AM,
1/8/2016,8:00 AM,
1/8/2016,9:00 AM,
1/8/2016,10:00 AM,
1/8/2016,11:00 AM,
1/8/2016,12:00 PM,
1/8/2016,1:00 PM,
1/8/2016,2:00 PM,
1/8/2016,3:00 PM,
1/8/2016,4:00 PM,
1/8/2016,5:00 PM,
1/8/2016,6:00 PM,
1/8/2016,7:00 PM,
1/8/2016,8:00 PM,
1/8/2016,9:00 PM,
1/8/2016,10:00 PM,
1/8/2016,11:00 PM,
1/8/2016,24:00 AM,
1/9/2016,1:00 AM,
1/9/2016,2:00 AM,
1/9/2016,3:00 AM,
1/9/2016,4:00 AM,
1/9/2016,5:00 AM,
1/9/2016,6:00 AM,
1/9/2016,7:00 AM,
1/9/2016,8:00 AM,
1/9/2016,9:00 AM,
1/9/2016,10:00 AM,
1/9/2016,11:00 AM,
1/9/2016,12:00 PM,
1/9/2016,1:00 PM,
1/9/2016,2:00 PM,
1/9/2016,3:00 PM,
1/9/2016,4:00 PM,
1/9/2016,5:00 PM,
1/9/2016,6:00 PM,
1/9/2016,7:00 PM,
1/9/2016,8:00 PM,
1/9/2016,9:00 PM,
1/9/2016,10:00 PM,
1/9/2016,11:00 PM,
1/9/2016,24:00 AM,
1/10/2016,1:00 AM,
1/10/2016,2:00 AM,
1/10/2016,3:00 AM,
1/10/2016,4:00 AM,
1/10/2016,5:00 AM,
1/10/2016,6:00 AM,
1/10/2016,7:00 AM,
1/10/2016,8:00 AM,
1/10/2016,9:00 AM,
1/10/2016,10:00 AM,
1/10/2016,11:00 AM,
1/10/2016,12:00 PM,
1/10/2016,1:00 PM,
1/10/2016,2:00 PM,
1/10/2016,3:00 PM,
1/10/2016,4:00 PM,
1/10/2016,5:00 PM,
1/10/2016,6:00 PM,
1/10/2016,7:00 PM,
1/10/2016,8:00 PM,
1/10/2016,9:00 PM,
1/10/2016,10:00 PM,
1/10/2016,11:00 PM,
1/10/2016,24:00 AM,
1/11/2016,1:00 AM,
1/11/2016,2:00 AM,
1/11/2016,3:00 AM,
1/11/2016,4:00 AM,
1/11/2016,5:00 AM,
1/11/2016,6:00 AM,
1/11/2016,7:00 AM,
1/11/2016,8:00 AM,
1/11/2016,9:00 AM,
1/11/2016,10:00 AM,
1/11/2016,11:00 AM,
1/11/2016,12:00 PM,
1/11/2016,1:00 PM,
1/11/2016,2:00 PM,
1/11/2016,3:00 PM,
1/11/2016,4:00 PM,
1/11/2016,5:00 PM,
1/11/2016,6:00 PM,
1/11/2016,7:00 PM,
1/11/2016,8:00 PM,
1/11/2016,9:00 PM,
1/11/2016,10:00 PM,
1/11/2016,11:00 PM,
1/11/2016,24:00 AM,
1/12/2016,1:00 AM,
1/12/2016,2:00 AM,
1/12/2016,3:00 AM,
1/12/2016,4:00 AM,
