0,1,2
Date,Time,PM25
,,ug/m3
12/31/2024,24:00 AM,
1/1/2025,1:00 AM,
1/1/2025,2:00 AM,
1/1/2025,3:00 AM,
1/1/2025,4:00 AM,
1/1/2025,5:00 AM,
1/1/2025,6:00 AM,
1/1/2025,7:00 AM,
1/1/2025,8:00 AM,
1/1/2025,9:00 AM,
1/1/2025,10:00 AM,
1/1/2025,11:00 AM,
1/1/2025,12:00 PM,
1/1/2025,1:00 PM,
1/1/2025,2:00 PM,
1/1/2025,3:00 PM,
1/1/2025,4:00 PM,
1/1/2025,5:00 PM,
1/1/2025,6:00 PM,
1/1/2025,7:00 PM,
1/1/2025,8:00 PM,
1/1/2025,9:00 PM,
1/1/2025,10:00 PM,
1/1/2025,11:00 PM,
1/1/2025,24:00 AM,
1/2/2025,1:00 AM,
1/2/2025,2:00 AM,
1/2/2025,3:00 AM,
1/2/2025,4:00 AM,
1/2/2025,5:00 AM,
1/2/2025,6:00 AM,
1/2/2025,7:00 AM,
1/2/2025,8:00 AM,
1/2/2025,9:00 AM,
1/2/2025,10:00 AM,
1/2/2025,11:00 AM,
1/2/2025,12:00 PM,
1/2/2025,1:00 PM,
1/2/2025,2:00 PM,
1/2/2025,3:00 PM,
1/2/2025,4:00 PM,
1/2/2025,5:00 PM,
1/2/2025,6:00 PM,
1/2/2025,7:00 PM,
1/2/2025,8:00 PM,
1/2/2025,9:00 PM,
1/2/2025,10:00 PM,
1/2/2025,11:00 PM,
1/2/2025,24:00 AM,
1/3/2025,1:00 AM,
1/3/2025,2:00 AM,
1/3/2025,3:00 AM,
1/3/2025,4:00 AM,
1/3/2025,5:00 AM,
1/3/2025,6:00 AM,
1/3/2025,7:00 AM,
1/3/2025,8:00 AM,
1/3/2025,9:00 AM,
1/3/2025,10:00 AM,
1/3/2025,11:00 AM,
1/3/2025,12:00 PM,
1/3/2025,1:00 PM,
1/3/2025,2:00 PM,
1/3/2025,3:00 PM,
1/3/2025,4:00 PM,
1/3/2025,5:00 PM,
1/3/2025,6:00 PM,
1/3/2025,7:00 PM,
1/3/2025,8:00 PM,
1/3/2025,9:00 PM,
1/3/2025,10:00 PM,
1/3/2025,11:00 PM,
1/3/2025,24:00 AM,
1/4/2025,1:00 AM,
1/4/2025,2:00 AM,
1/4/2025,3:00 AM,
1/4/2025,4:00 AM,
1/4/2025,5:00 AM,
1/4/2025,6:00 AM,
1/4/2025,7:00 AM,
1/4/2025,8:00 AM,
1/4/2025,9:00 AM,
1/4/2025,10:00 AM,
1/4/2025,11:00 AM,
1/4/2025,12:00 PM,
1/4/2025,1:00 PM,
1/4/2025,2:00 PM,
1/4/2025,3:00 PM,
1/4/2025,4:00 PM,
1/4/2025,5:00 PM,
1/4/2025,6:00 PM,
1/4/2025,7:00 PM,
1/4/2025,8:00 PM,
1/4/2025,9:00 PM,
1/4/2025,10:00 PM,
1/4/2025,11:00 PM,
1/4/2025,24:00 AM,
1/5/2025,1:00 AM,
1/5/2025,2:00 AM,
1/5/2025,3:00 AM,
1/5/2025,4:00 AM,
1/5/2025,5:00 AM,
1/5/2025,6:00 AM,
1/5/2025,7:00 AM,
1/5/2025,8:00 AM,
1/5/2025,9:00 AM,
1/5/2025,10:00 AM,
1/5/2025,11:00 AM,
1/5/2025,12:00 PM,
1/5/2025,1:00 PM,
1/5/2025,2:00 PM,
1/5/2025,3:00 PM,
1/5/2025,4:00 PM,
1/5/2025,5:00 PM,
1/5/2025,6:00 PM,
1/5/2025,7:00 PM,
1/5/2025,8:00 PM,
1/5/2025,9:00 PM,
1/5/2025,10:00 PM,
1/5/2025,11:00 PM,
1/5/2025,24:00 AM,
1/6/2025,1:00 AM,
1/6/2025,2:00 AM,
1/6/2025,3:00 AM,
1/6/2025,4:00 AM,
1/6/2025,5:00 AM,
1/6/2025,6:00 AM,
1/6/2025,7:00 AM,
1/6/2025,8:00 AM,
1/6/2025,9:00 AM,
1/6/2025,10:00 AM,
1/6/2025,11:00 AM,
1/6/2025,12:00 PM,
1/6/2025,1:00 PM,
1/6/2025,2:00 PM,
1/6/2025,3:00 PM,
1/6/2025,4:00 PM,
1/6/2025,5:00 PM,
1/6/2025,6:00 PM,
1/6/2025,7:00 PM,
1/6/2025,8:00 PM,
1/6/2025,9:00 PM,
1/6/2025,10:00 PM,
1/6/2025,11:00 PM,
1/6/2025,24:00 AM,
1/7/2025,1:00 AM,
1/7/2025,2:00 AM,
1/7/2025,3:00 AM,
1/7/2025,4:00 AM,
1/7/2025,5:00 AM,
1/7/2025,6:00 AM,
1/7/2025,7:00 AM,
1/7/2025,8:00 AM,
1/7/2025,9:00 AM,
1/7/2025,10:00 AM,
1/7/2025,11:00 AM,
1/7/2025,12:00 PM,
1/7/2025,1:00 PM,
1/7/2025,2:00 PM,
1/7/2025,3:00 PM,
1/7/2025,4:00 PM,
1/7/2025,5:00 PM,
1/7/2025,6:00 PM,
1/7/2025,7:00 PM,
1/7/2025,8:00 PM,
1/7/2025,9:00 PM,
1/7/2025,10:00 PM,
1/7/2025,11:00 PM,
1/7/2025,24:00 AM,
1/8/2025,1:00 AM,
1/8/2025,2:00 AM,
1/8/2025,3:00 AM,
1/8/2025,4:00 AM,
1/8/2025,5:00 AM,
1/8/2025,6:00 AM,
1/8/2025,7:00 AM,
1/8/2025,8:00 AM,
1/8/2025,9:00 AM,
1/8/2025,10:00 AM,
1/8/2025,11:00 AM,
1/8/2025,12:00 PM,
1/8/2025,1:00 PM,
1/8/2025,2:00 PM,
1/8/2025,3:00 PM,
1/8/2025,4:00 PM,
1/8/2025,5:00 PM,
1/8/2025,6:00 PM,
1/8/2025,7:00 PM,
1/8/2025,8:00 PM,
1/8/2025,9:00 PM,
1/8/2025,10:00 PM,
1/8/2025,11:00 PM,
1/8/2025,24:00 AM,
1/9/2025,1:00 AM,
1/9/2025,2:00 AM,
1/9/2025,3:00 AM,
1/9/2025,4:00 AM,
1/9/2025,5:00 AM,
1/9/2025,6:00 AM,
1/9/2025,7:00 AM,
1/9/2025,8:00 AM,
1/9/2025,9:00 AM,
1/9/2025,10:00 AM,
1/9/2025,11:00 AM,
1/9/2025,12:00 PM,
1/9/2025,1:00 PM,
1/9/2025,2:00 PM,
1/9/2025,3:00 PM,
1/9/2025,4:00 PM,
1/9/2025,5:00 PM,
1/9/2025,6:00 PM,
1/9/2025,7:00 PM,
1/9/2025,8:00 PM,
1/9/2025,9:00 PM,
1/9/2025,10:00 PM,
1/9/2025,11:00 PM,
1/9/2025,24:00 AM,
1/10/2025,1:00 AM,
1/10/2025,2:00 AM,
1/10/2025,3:00 AM,
1/10/2025,4:00 AM,
1/10/2025,5:00 AM,
1/10/2025,6:00 AM,
1/10/2025,7:00 AM,
1/10/2025,8:00 AM,
1/10/2025,9:00 AM,
1/10/2025,10:00 AM,
1/10/2025,11:00 AM,
1/10/2025,12:00 PM,
1/10/2025,1:00 PM,
1/10/2025,2:00 PM,
1/10/2025,3:00 PM,
1/10/2025,4:00 PM,
1/10/2025,5:00 PM,
1/10/2025,6:00 PM,
1/10/2025,7:00 PM,
1/10/2025,8:00 PM,
1/10/2025,9:00 PM,
1/10/2025,10:00 PM,
1/10/2025,11:00 PM,
1/10/2025,24:00 AM,
1/11/2025,1:00 AM,
1/11/2025,2:00 AM,
1/11/2025,3:00 AM,
1/11/2025,4:00 AM,
1/11/2025,5:00 AM,
1/11/2025,6:00 AM,
1/11/2025,7:00 AM,
1/11/2025,8:00 AM,
1/11/2025,9:00 AM,
1/11/2025,10:00 AM,
1/11/2025,11:00 AM,
1/11/2025,12:00 PM,
1/11/2025,1:00 PM,
1/11/2025,2:00 PM,
1/11/2025,3:00 PM,
1/11/2025,4:00 PM,
1/11/2025,5:00 PM,
1/11/2025,6:00 PM,
1/11/2025,7:00 PM,
1/11/2025,8:00 PM,
1/11/2025,9:00 PM,
1/11/2025,10:00 PM,
1/11/2025,11:00 PM,
1/11/2025,24:00 AM,
1/12/2025,1:00 AM,
1/12/2025,2:00 AM,
1/12/2025,3:00 AM,
1/12/2025,4:00 AM,
