0,1,2
Date,Time,PM25
,,ug/m3
12/31/2014,24:00 AM,
1/1/2015,1:00 AM,0.9
1/1/2015,2:00 AM,1.0
1/1/2015,3:00 AM,0.9
1/1/2015,4:00 AM,0.9
1/1/2015,5:00 AM,1.0
1/1/2015,6:00 AM,1.0
1/1/2015,7:00 AM,1.5
1/1/2015,8:00 AM,1.1
1/1/2015,9:00 AM,1.0
1/1/2015,10:00 AM,1.4
1/1/2015,11:00 AM,1.6
1/1/2015,12:00 PM,0.4
1/1/2015,1:00 PM,0.4
1/1/2015,2:00 PM,0.5
1/1/2015,3:00 PM,0.6
1/1/2015,4:00 PM,0.9
1/1/2015,5:00 PM,1.1
1/1/2015,6:00 PM,1.4
1/1/2015,7:00 PM,1.4
1/1/2015,8:00 PM,1.6
1/1/2015,9:00 PM,1.7
1/1/2015,10:00 PM,1.8
1/1/2015,11:00 PM,1.9
1/1/2015,24:00 AM,2.4
1/2/2015,1:00 AM,2.4
1/2/2015,2:00 AM,2.5
1/2/2015,3:00 AM,2.2
1/2/2015,4:00 AM,2.3
1/2/2015,5:00 AM,2.5
1/2/2015,6:00 AM,2.2
1/2/2015,7:00 AM,2.3
1/2/2015,8:00 AM,2.1
1/2/2015,9:00 AM,2.3
1/2/2015,10:00 AM,1.8
1/2/2015,11:00 AM,1.9
1/2/2015,12:00 PM,2.6
1/2/2015,1:00 PM,2.8
1/2/2015,2:00 PM,2.8
1/2/2015,3:00 PM,2.5
1/2/2015,4:00 PM,1.8
1/2/2015,5:00 PM,2.4
1/2/2015,6:00 PM,2.3
1/2/2015,7:00 PM,3.0
1/2/2015,8:00 PM,2.4
1/2/2015,9:00 PM,2.7
1/2/2015,10:00 PM,3.0
1/2/2015,11:00 PM,2.9
1/2/2015,24:00 AM,3.4
1/3/2015,1:00 AM,2.3
1/3/2015,2:00 AM,2.9
1/3/2015,3:00 AM,3.0
1/3/2015,4:00 AM,2.7
1/3/2015,5:00 AM,3.0
1/3/2015,6:00 AM,3.1
1/3/2015,7:00 AM,3.5
1/3/2015,8:00 AM,4.7
1/3/2015,9:00 AM,3.5
1/3/2015,10:00 AM,5.0
1/3/2015,11:00 AM,3.5
1/3/2015,12:00 PM,2.6
1/3/2015,1:00 PM,2.9
1/3/2015,2:00 PM,2.8
1/3/2015,3:00 PM,2.9
1/3/2015,4:00 PM,3.3
1/3/2015,5:00 PM,2.8
1/3/2015,6:00 PM,3.4
1/3/2015,7:00 PM,13.9
1/3/2015,8:00 PM,6.7
1/3/2015,9:00 PM,3.4
1/3/2015,10:00 PM,3.1
1/3/2015,11:00 PM,3.3
1/3/2015,24:00 AM,3.3
1/4/2015,1:00 AM,2.6
1/4/2015,2:00 AM,2.6
1/4/2015,3:00 AM,2.9
1/4/2015,4:00 AM,2.8
1/4/2015,5:00 AM,2.8
1/4/2015,6:00 AM,2.7
1/4/2015,7:00 AM,2.8
1/4/2015,8:00 AM,2.2
1/4/2015,9:00 AM,2.5
1/4/2015,10:00 AM,2.2
1/4/2015,11:00 AM,2.1
1/4/2015,12:00 PM,5.2
1/4/2015,1:00 PM,10.8
1/4/2015,2:00 PM,6.9
1/4/2015,3:00 PM,2.5
1/4/2015,4:00 PM,3.2
1/4/2015,5:00 PM,2.1
1/4/2015,6:00 PM,2.7
1/4/2015,7:00 PM,1.7
1/4/2015,8:00 PM,1.9
1/4/2015,9:00 PM,1.5
1/4/2015,10:00 PM,1.4
1/4/2015,11:00 PM,1.4
1/4/2015,24:00 AM,1.4
1/5/2015,1:00 AM,1.3
1/5/2015,2:00 AM,1.3
1/5/2015,3:00 AM,1.3
1/5/2015,4:00 AM,3.4
1/5/2015,5:00 AM,3.7
1/5/2015,6:00 AM,1.9
1/5/2015,7:00 AM,8.4
1/5/2015,8:00 AM,2.2
1/5/2015,9:00 AM,1.9
1/5/2015,10:00 AM,1.8
1/5/2015,11:00 AM,1.9
1/5/2015,12:00 PM,1.9
1/5/2015,1:00 PM,2.8
1/5/2015,2:00 PM,2.6
1/5/2015,3:00 PM,2.8
1/5/2015,4:00 PM,7.2
1/5/2015,5:00 PM,1.7
1/5/2015,6:00 PM,1.6
1/5/2015,7:00 PM,6.1
1/5/2015,8:00 PM,2.0
1/5/2015,9:00 PM,4.7
1/5/2015,10:00 PM,2.6
1/5/2015,11:00 PM,1.9
1/5/2015,24:00 AM,4.1
1/6/2015,1:00 AM,5.8
1/6/2015,2:00 AM,2.3
1/6/2015,3:00 AM,2.0
1/6/2015,4:00 AM,3.7
1/6/2015,5:00 AM,3.7
1/6/2015,6:00 AM,3.6
1/6/2015,7:00 AM,3.2
1/6/2015,8:00 AM,2.2
1/6/2015,9:00 AM,3.1
1/6/2015,10:00 AM,2.4
1/6/2015,11:00 AM,6.1
1/6/2015,12:00 PM,6.3
1/6/2015,1:00 PM,8.0
1/6/2015,2:00 PM,6.5
1/6/2015,3:00 PM,9.5
1/6/2015,4:00 PM,6.3
1/6/2015,5:00 PM,5.4
1/6/2015,6:00 PM,4.1
1/6/2015,7:00 PM,3.5
1/6/2015,8:00 PM,3.1
1/6/2015,9:00 PM,4.0
1/6/2015,10:00 PM,3.2
1/6/2015,11:00 PM,2.6
1/6/2015,24:00 AM,2.4
1/7/2015,1:00 AM,2.8
1/7/2015,2:00 AM,4.7
1/7/2015,3:00 AM,5.5
1/7/2015,4:00 AM,5.9
1/7/2015,5:00 AM,6.6
1/7/2015,6:00 AM,3.8
1/7/2015,7:00 AM,4.3
1/7/2015,8:00 AM,5.8
1/7/2015,9:00 AM,6.3
1/7/2015,10:00 AM,5.9
1/7/2015,11:00 AM,3.9
1/7/2015,12:00 PM,2.8
1/7/2015,1:00 PM,1.8
1/7/2015,2:00 PM,1.5
1/7/2015,3:00 PM,2.4
1/7/2015,4:00 PM,2.3
1/7/2015,5:00 PM,2.0
1/7/2015,6:00 PM,3.2
1/7/2015,7:00 PM,3.5
1/7/2015,8:00 PM,3.1
1/7/2015,9:00 PM,3.2
1/7/2015,10:00 PM,2.7
1/7/2015,11:00 PM,3.7
1/7/2015,24:00 AM,3.8
1/8/2015,1:00 AM,4.9
1/8/2015,2:00 AM,5.9
1/8/2015,3:00 AM,2.2
1/8/2015,4:00 AM,1.7
1/8/2015,5:00 AM,1.5
1/8/2015,6:00 AM,2.4
1/8/2015,7:00 AM,2.6
1/8/2015,8:00 AM,2.1
1/8/2015,9:00 AM,4.6
1/8/2015,10:00 AM,3.9
1/8/2015,11:00 AM,2.6
1/8/2015,12:00 PM,2.0
1/8/2015,1:00 PM,3.2
1/8/2015,2:00 PM,5.9
1/8/2015,3:00 PM,8.5
1/8/2015,4:00 PM,3.9
1/8/2015,5:00 PM,5.5
1/8/2015,6:00 PM,3.1
1/8/2015,7:00 PM,3.7
1/8/2015,8:00 PM,2.1
1/8/2015,9:00 PM,3.8
1/8/2015,10:00 PM,2.6
1/8/2015,11:00 PM,1.5
1/8/2015,24:00 AM,1.6
1/9/2015,1:00 AM,1.9
1/9/2015,2:00 AM,2.9
1/9/2015,3:00 AM,1.9
1/9/2015,4:00 AM,5.7
1/9/2015,5:00 AM,3.6
1/9/2015,6:00 AM,4.0
1/9/2015,7:00 AM,5.0
1/9/2015,8:00 AM,3.7
1/9/2015,9:00 AM,5.6
1/9/2015,10:00 AM,12.2
1/9/2015,11:00 AM,9.6
1/9/2015,12:00 PM,9.8
1/9/2015,1:00 PM,10.4
1/9/2015,2:00 PM,9.5
1/9/2015,3:00 PM,11.4
1/9/2015,4:00 PM,13.2
1/9/2015,5:00 PM,9.4
1/9/2015,6:00 PM,7.2
1/9/2015,7:00 PM,5.4
1/9/2015,8:00 PM,4.2
1/9/2015,9:00 PM,3.7
1/9/2015,10:00 PM,4.4
1/9/2015,11:00 PM,3.6
1/9/2015,24:00 AM,3.9
1/10/2015,1:00 AM,4.3
1/10/2015,2:00 AM,3.2
1/10/2015,3:00 AM,3.5
1/10/2015,4:00 AM,4.0
1/10/2015,5:00 AM,4.4
1/10/2015,6:00 AM,6.7
1/10/2015,7:00 AM,5.8
