0,1,2
Date,Time,PM25
,,ug/m3
12/31/2018,24:00 AM,0.2
1/1/2019,1:00 AM,0.2
1/1/2019,2:00 AM,0.3
1/1/2019,3:00 AM,0.1
1/1/2019,4:00 AM,0.1
1/1/2019,5:00 AM,0.1
1/1/2019,6:00 AM,0.2
1/1/2019,7:00 AM,0.3
1/1/2019,8:00 AM,0.3
1/1/2019,9:00 AM,0.3
1/1/2019,10:00 AM,0.4
1/1/2019,11:00 AM,0.9
1/1/2019,12:00 PM,1.2
1/1/2019,1:00 PM,1.2
1/1/2019,2:00 PM,0.9
1/1/2019,3:00 PM,0.0
1/1/2019,4:00 PM,0.4
1/1/2019,5:00 PM,0.0
1/1/2019,6:00 PM,0.0
1/1/2019,7:00 PM,0.0
1/1/2019,8:00 PM,0.0
1/1/2019,9:00 PM,0.0
1/1/2019,10:00 PM,0.0
1/1/2019,11:00 PM,0.0
1/1/2019,24:00 AM,0.0
1/2/2019,1:00 AM,0.0
1/2/2019,2:00 AM,0.0
1/2/2019,3:00 AM,0.0
1/2/2019,4:00 AM,0.0
1/2/2019,5:00 AM,0.0
1/2/2019,6:00 AM,0.0
1/2/2019,7:00 AM,0.0
1/2/2019,8:00 AM,0.0
1/2/2019,9:00 AM,0.0
1/2/2019,10:00 AM,0.0
1/2/2019,11:00 AM,0.0
1/2/2019,12:00 PM,0.2
1/2/2019,1:00 PM,0.4
1/2/2019,2:00 PM,0.3
1/2/2019,3:00 PM,0.1
1/2/2019,4:00 PM,0.5
1/2/2019,5:00 PM,0.0
1/2/2019,6:00 PM,0.0
1/2/2019,7:00 PM,0.6
1/2/2019,8:00 PM,1.4
1/2/2019,9:00 PM,0.7
1/2/2019,10:00 PM,0.4
1/2/2019,11:00 PM,0.2
1/2/2019,24:00 AM,0.6
1/3/2019,1:00 AM,0.1
1/3/2019,2:00 AM,0.0
1/3/2019,3:00 AM,0.1
1/3/2019,4:00 AM,0.0
1/3/2019,5:00 AM,0.4
1/3/2019,6:00 AM,0.8
1/3/2019,7:00 AM,1.2
1/3/2019,8:00 AM,0.8
1/3/2019,9:00 AM,1.2
1/3/2019,10:00 AM,0.9
1/3/2019,11:00 AM,1.0
1/3/2019,12:00 PM,3.6
1/3/2019,1:00 PM,3.1
1/3/2019,2:00 PM,2.7
1/3/2019,3:00 PM,2.1
1/3/2019,4:00 PM,4.9
1/3/2019,5:00 PM,8.9
1/3/2019,6:00 PM,14.7
1/3/2019,7:00 PM,12.7
1/3/2019,8:00 PM,8.3
1/3/2019,9:00 PM,7.9
1/3/2019,10:00 PM,7.5
1/3/2019,11:00 PM,3.0
1/3/2019,24:00 AM,2.5
1/4/2019,1:00 AM,6.1
1/4/2019,2:00 AM,4.4
1/4/2019,3:00 AM,2.5
1/4/2019,4:00 AM,1.8
1/4/2019,5:00 AM,2.1
1/4/2019,6:00 AM,2.4
1/4/2019,7:00 AM,2.3
1/4/2019,8:00 AM,2.0
1/4/2019,9:00 AM,1.5
1/4/2019,10:00 AM,1.9
1/4/2019,11:00 AM,2.2
1/4/2019,12:00 PM,2.0
1/4/2019,1:00 PM,1.8
1/4/2019,2:00 PM,2.2
1/4/2019,3:00 PM,1.8
1/4/2019,4:00 PM,2.4
1/4/2019,5:00 PM,2.0
1/4/2019,6:00 PM,1.9
1/4/2019,7:00 PM,1.6
1/4/2019,8:00 PM,2.1
1/4/2019,9:00 PM,1.9
1/4/2019,10:00 PM,3.1
1/4/2019,11:00 PM,2.7
1/4/2019,24:00 AM,2.7
1/5/2019,1:00 AM,2.6
1/5/2019,2:00 AM,1.7
1/5/2019,3:00 AM,0.8
1/5/2019,4:00 AM,1.7
1/5/2019,5:00 AM,1.5
1/5/2019,6:00 AM,3.5
1/5/2019,7:00 AM,5.0
1/5/2019,8:00 AM,2.1
1/5/2019,9:00 AM,4.3
1/5/2019,10:00 AM,3.8
1/5/2019,11:00 AM,2.5
1/5/2019,12:00 PM,2.4
1/5/2019,1:00 PM,2.0
1/5/2019,2:00 PM,3.0
1/5/2019,3:00 PM,3.9
1/5/2019,4:00 PM,3.8
1/5/2019,5:00 PM,4.3
1/5/2019,6:00 PM,4.9
1/5/2019,7:00 PM,5.1
1/5/2019,8:00 PM,5.2
1/5/2019,9:00 PM,4.0
1/5/2019,10:00 PM,5.2
1/5/2019,11:00 PM,4.5
1/5/2019,24:00 AM,2.6
1/6/2019,1:00 AM,0.8
1/6/2019,2:00 AM,1.1
1/6/2019,3:00 AM,2.7
1/6/2019,4:00 AM,4.1
1/6/2019,5:00 AM,3.9
1/6/2019,6:00 AM,2.5
1/6/2019,7:00 AM,2.1
1/6/2019,8:00 AM,2.0
1/6/2019,9:00 AM,1.8
1/6/2019,10:00 AM,1.2
1/6/2019,11:00 AM,0.5
1/6/2019,12:00 PM,0.2
1/6/2019,1:00 PM,0.2
1/6/2019,2:00 PM,0.2
1/6/2019,3:00 PM,0.2
1/6/2019,4:00 PM,0.2
1/6/2019,5:00 PM,0.6
1/6/2019,6:00 PM,0.7
1/6/2019,7:00 PM,1.3
1/6/2019,8:00 PM,1.2
1/6/2019,9:00 PM,0.9
1/6/2019,10:00 PM,0.5
1/6/2019,11:00 PM,0.1
1/6/2019,24:00 AM,0.0
1/7/2019,1:00 AM,0.0
1/7/2019,2:00 AM,0.0
1/7/2019,3:00 AM,0.0
1/7/2019,4:00 AM,0.0
1/7/2019,5:00 AM,0.0
1/7/2019,6:00 AM,0.0
1/7/2019,7:00 AM,2.3
1/7/2019,8:00 AM,1.0
1/7/2019,9:00 AM,9.1
1/7/2019,10:00 AM,2.0
1/7/2019,11:00 AM,0.0
1/7/2019,12:00 PM,0.0
1/7/2019,1:00 PM,0.0
1/7/2019,2:00 PM,0.0
1/7/2019,3:00 PM,0.0
1/7/2019,4:00 PM,0.5
1/7/2019,5:00 PM,1.6
1/7/2019,6:00 PM,2.5
1/7/2019,7:00 PM,4.6
1/7/2019,8:00 PM,7.3
1/7/2019,9:00 PM,13.4
1/7/2019,10:00 PM,8.1
1/7/2019,11:00 PM,15.0
1/7/2019,24:00 AM,8.7
1/8/2019,1:00 AM,4.5
1/8/2019,2:00 AM,5.7
1/8/2019,3:00 AM,5.5
1/8/2019,4:00 AM,4.4
1/8/2019,5:00 AM,2.2
1/8/2019,6:00 AM,1.5
1/8/2019,7:00 AM,1.3
1/8/2019,8:00 AM,1.8
1/8/2019,9:00 AM,3.9
1/8/2019,10:00 AM,5.3
1/8/2019,11:00 AM,0.6
1/8/2019,12:00 PM,2.3
1/8/2019,1:00 PM,3.3
1/8/2019,2:00 PM,2.8
1/8/2019,3:00 PM,8.3
1/8/2019,4:00 PM,7.6
1/8/2019,5:00 PM,10.0
1/8/2019,6:00 PM,8.3
1/8/2019,7:00 PM,4.1
1/8/2019,8:00 PM,6.6
1/8/2019,9:00 PM,2.0
1/8/2019,10:00 PM,2.8
1/8/2019,11:00 PM,3.7
1/8/2019,24:00 AM,1.5
1/9/2019,1:00 AM,0.0
1/9/2019,2:00 AM,0.0
1/9/2019,3:00 AM,0.0
1/9/2019,4:00 AM,0.0
1/9/2019,5:00 AM,0.0
1/9/2019,6:00 AM,0.0
1/9/2019,7:00 AM,0.0
1/9/2019,8:00 AM,0.0
1/9/2019,9:00 AM,0.0
1/9/2019,10:00 AM,0.0
1/9/2019,11:00 AM,0.0
1/9/2019,12:00 PM,0.0
1/9/2019,1:00 PM,0.0
1/9/2019,2:00 PM,0.0
1/9/2019,3:00 PM,0.0
1/9/2019,4:00 PM,0.0
1/9/2019,5:00 PM,0.0
1/9/2019,6:00 PM,0.0
1/9/2019,7:00 PM,0.3
1/9/2019,8:00 PM,1.5
1/9/2019,9:00 PM,1.6
1/9/2019,10:00 PM,1.8
1/9/2019,11:00 PM,1.9
1/9/2019,24:00 AM,2.4
1/10/2019,1:00 AM,2.7
1/10/2019,2:00 AM,2.1
1/10/2019,3:00 AM,1.7
1/10/2019,4:00 AM,1.3
1/10/2019,5:00 AM,1.3
1/10/2019,6:00 AM,1.2
1/10/2019,7:00 AM,1.3
