0,1,2,3
Date,Time,PM25_TEOM,PM25
,,ug/m3,ug/m3
12/31/2020,24:00 AM,,51.6
1/1/2021,1:00 AM,,48.1
1/1/2021,2:00 AM,,47.5
1/1/2021,3:00 AM,,53.4
1/1/2021,4:00 AM,,38.3
1/1/2021,5:00 AM,,14.6
1/1/2021,6:00 AM,,18.3
1/1/2021,7:00 AM,,6.1
1/1/2021,8:00 AM,,5.3
1/1/2021,9:00 AM,,4.7
1/1/2021,10:00 AM,,7.3
1/1/2021,11:00 AM,,11.5
1/1/2021,12:00 PM,,6.9
1/1/2021,1:00 PM,,6.3
1/1/2021,2:00 PM,,7.6
1/1/2021,3:00 PM,,6.5
1/1/2021,4:00 PM,,6.2
1/1/2021,5:00 PM,,10.1
1/1/2021,6:00 PM,,10.0
1/1/2021,7:00 PM,,8.2
1/1/2021,8:00 PM,,3.3
1/1/2021,9:00 PM,,3.8
1/1/2021,10:00 PM,,3.2
1/1/2021,11:00 PM,,3.3
1/1/2021,24:00 AM,,2.5
1/2/2021,1:00 AM,,1.3
1/2/2021,2:00 AM,,1.3
1/2/2021,3:00 AM,,1.1
1/2/2021,4:00 AM,,1.2
1/2/2021,5:00 AM,,1.0
1/2/2021,6:00 AM,,0.7
1/2/2021,7:00 AM,,0.6
1/2/2021,8:00 AM,,1.0
1/2/2021,9:00 AM,,1.2
1/2/2021,10:00 AM,,0.8
1/2/2021,11:00 AM,,0.4
1/2/2021,12:00 PM,,0.5
1/2/2021,1:00 PM,,0.4
1/2/2021,2:00 PM,,0.8
1/2/2021,3:00 PM,,0.6
1/2/2021,4:00 PM,,0.8
1/2/2021,5:00 PM,,1.6
1/2/2021,6:00 PM,,1.0
1/2/2021,7:00 PM,,1.2
1/2/2021,8:00 PM,,0.6
1/2/2021,9:00 PM,,1.0
1/2/2021,10:00 PM,,0.8
1/2/2021,11:00 PM,,1.3
1/2/2021,24:00 AM,,0.9
1/3/2021,1:00 AM,,0.6
1/3/2021,2:00 AM,,0.6
1/3/2021,3:00 AM,,0.5
1/3/2021,4:00 AM,,1.0
1/3/2021,5:00 AM,,6.9
1/3/2021,6:00 AM,,4.1
1/3/2021,7:00 AM,,7.4
1/3/2021,8:00 AM,,8.6
1/3/2021,9:00 AM,,15.1
1/3/2021,10:00 AM,,13.7
1/3/2021,11:00 AM,,9.3
1/3/2021,12:00 PM,,5.9
1/3/2021,1:00 PM,,4.3
1/3/2021,2:00 PM,,3.0
1/3/2021,3:00 PM,,7.8
1/3/2021,4:00 PM,,6.5
1/3/2021,5:00 PM,,12.9
1/3/2021,6:00 PM,,11.8
1/3/2021,7:00 PM,,7.3
1/3/2021,8:00 PM,,10.8
