0,1,2,3
Date,Time,PM25_TEOM,PM25
,,ug/m3,ug/m3
12/31/2016,24:00 AM,4.6,
1/1/2017,1:00 AM,4.7,
1/1/2017,2:00 AM,6.5,
1/1/2017,3:00 AM,6.8,
1/1/2017,4:00 AM,4.9,
1/1/2017,5:00 AM,4.2,
1/1/2017,6:00 AM,4.3,
1/1/2017,7:00 AM,4.4,
1/1/2017,8:00 AM,4.2,
1/1/2017,9:00 AM,4.5,
1/1/2017,10:00 AM,5.9,
1/1/2017,11:00 AM,5.8,
1/1/2017,12:00 PM,7.5,
1/1/2017,1:00 PM,7.3,
1/1/2017,2:00 PM,8.9,
1/1/2017,3:00 PM,0.0,
1/1/2017,4:00 PM,0.4,
1/1/2017,5:00 PM,1.6,
1/1/2017,6:00 PM,3.1,
1/1/2017,7:00 PM,2.3,
1/1/2017,8:00 PM,3.1,
1/1/2017,9:00 PM,0.0,
1/1/2017,10:00 PM,2.5,
1/1/2017,11:00 PM,4.7,
1/1/2017,24:00 AM,12.1,
1/2/2017,1:00 AM,14.7,
1/2/2017,2:00 AM,9.8,
1/2/2017,3:00 AM,11.1,
1/2/2017,4:00 AM,11.0,
1/2/2017,5:00 AM,12.2,
1/2/2017,6:00 AM,7.1,
1/2/2017,7:00 AM,5.1,
1/2/2017,8:00 AM,9.0,
1/2/2017,9:00 AM,16.7,
1/2/2017,10:00 AM,25.1,
1/2/2017,11:00 AM,10.1,
1/2/2017,12:00 PM,4.1,
1/2/2017,1:00 PM,13.3,
1/2/2017,2:00 PM,16.8,
1/2/2017,3:00 PM,13.8,
1/2/2017,4:00 PM,12.1,
1/2/2017,5:00 PM,17.6,
1/2/2017,6:00 PM,16.7,
1/2/2017,7:00 PM,23.1,
1/2/2017,8:00 PM,28.8,
1/2/2017,9:00 PM,19.7,
1/2/2017,10:00 PM,15.4,
1/2/2017,11:00 PM,13.3,
1/2/2017,24:00 AM,16.0,
1/3/2017,1:00 AM,6.8,
1/3/2017,2:00 AM,9.9,
1/3/2017,3:00 AM,2.7,
1/3/2017,4:00 AM,2.8,
1/3/2017,5:00 AM,5.2,
1/3/2017,6:00 AM,2.9,
1/3/2017,7:00 AM,4.6,
1/3/2017,8:00 AM,4.3,
1/3/2017,9:00 AM,6.0,
1/3/2017,10:00 AM,8.1,
1/3/2017,11:00 AM,1.2,
1/3/2017,12:00 PM,0.8,
1/3/2017,1:00 PM,4.5,
1/3/2017,2:00 PM,6.4,
1/3/2017,3:00 PM,8.5,
1/3/2017,4:00 PM,11.2,
1/3/2017,5:00 PM,17.5,
1/3/2017,6:00 PM,17.0,
1/3/2017,7:00 PM,20.1,
1/3/2017,8:00 PM,20.4,
