0,1,2
Date,Time,PM25_BAM
,,ug/m3
12/31/2014,24:00 AM,55.7
1/1/2015,1:00 AM,46.9
1/1/2015,2:00 AM,44.9
1/1/2015,3:00 AM,41.0
1/1/2015,4:00 AM,42.2
1/1/2015,5:00 AM,46.2
1/1/2015,6:00 AM,24.5
1/1/2015,7:00 AM,12.0
1/1/2015,8:00 AM,11.1
1/1/2015,9:00 AM,13.8
1/1/2015,10:00 AM,9.0
1/1/2015,11:00 AM,8.1
1/1/2015,12:00 PM,10.1
1/1/2015,1:00 PM,13.9
1/1/2015,2:00 PM,12.1
1/1/2015,3:00 PM,14.0
1/1/2015,4:00 PM,13.8
1/1/2015,5:00 PM,9.1
1/1/2015,6:00 PM,11.0
1/1/2015,7:00 PM,12.1
1/1/2015,8:00 PM,15.9
1/1/2015,9:00 PM,14.8
1/1/2015,10:00 PM,35.0
1/1/2015,11:00 PM,36.0
1/1/2015,24:00 AM,35.9
1/2/2015,1:00 AM,32.1
1/2/2015,2:00 AM,33.8
1/2/2015,3:00 AM,29.0
1/2/2015,4:00 AM,30.0
1/2/2015,5:00 AM,31.1
1/2/2015,6:00 AM,32.9
1/2/2015,7:00 AM,29.7
1/2/2015,8:00 AM,22.7
1/2/2015,9:00 AM,16.0
1/2/2015,10:00 AM,15.9
1/2/2015,11:00 AM,14.3
1/2/2015,12:00 PM,21.2
1/2/2015,1:00 PM,26.8
1/2/2015,2:00 PM,22.2
1/2/2015,3:00 PM,27.0
1/2/2015,4:00 PM,27.8
1/2/2015,5:00 PM,23.4
1/2/2015,6:00 PM,33.0
1/2/2015,7:00 PM,33.0
1/2/2015,8:00 PM,34.3
1/2/2015,9:00 PM,41.4
1/2/2015,10:00 PM,26.2
1/2/2015,11:00 PM,31.7
1/2/2015,24:00 AM,22.9
1/3/2015,1:00 AM,19.0
1/3/2015,2:00 AM,18.9
1/3/2015,3:00 AM,14.9
1/3/2015,4:00 AM,11.9
1/3/2015,5:00 AM,10.0
1/3/2015,6:00 AM,9.4
1/3/2015,7:00 AM,18.6
1/3/2015,8:00 AM,7.2
1/3/2015,9:00 AM,12.0
1/3/2015,10:00 AM,12.9
1/3/2015,11:00 AM,9.3
1/3/2015,12:00 PM,16.1
1/3/2015,1:00 PM,17.9
1/3/2015,2:00 PM,14.8
1/3/2015,3:00 PM,9.0
1/3/2015,4:00 PM,10.0
1/3/2015,5:00 PM,9.0
1/3/2015,6:00 PM,8.9
1/3/2015,7:00 PM,7.0
1/3/2015,8:00 PM,6.9
1/3/2015,9:00 PM,3.9
1/3/2015,10:00 PM,2.1
1/3/2015,11:00 PM,4.1
1/3/2015,24:00 AM,5.9
1/4/2015,1:00 AM,3.9
1/4/2015,2:00 AM,2.0
1/4/2015,3:00 AM,1.0
1/4/2015,4:00 AM,0.0
1/4/2015,5:00 AM,0.0
1/4/2015,6:00 AM,0.0
1/4/2015,7:00 AM,1.1
1/4/2015,8:00 AM,3.0
1/4/2015,9:00 AM,3.0
1/4/2015,10:00 AM,3.0
1/4/2015,11:00 AM,1.9
1/4/2015,12:00 PM,0.0
1/4/2015,1:00 PM,0.2
1/4/2015,2:00 PM,5.0
1/4/2015,3:00 PM,3.9
1/4/2015,4:00 PM,2.0
1/4/2015,5:00 PM,3.0
1/4/2015,6:00 PM,3.0
1/4/2015,7:00 PM,2.9
1/4/2015,8:00 PM,1.0
1/4/2015,9:00 PM,1.1
1/4/2015,10:00 PM,3.0
1/4/2015,11:00 PM,3.0
1/4/2015,24:00 AM,4.0
1/5/2015,1:00 AM,3.0
1/5/2015,2:00 AM,4.0
1/5/2015,3:00 AM,3.0
1/5/2015,4:00 AM,3.0
1/5/2015,5:00 AM,3.0
1/5/2015,6:00 AM,1.9
1/5/2015,7:00 AM,0.0
1/5/2015,8:00 AM,0.0
1/5/2015,9:00 AM,1.3
1/5/2015,10:00 AM,8.2
1/5/2015,11:00 AM,13.8
1/5/2015,12:00 PM,9.3
1/5/2015,1:00 PM,17.6
1/5/2015,2:00 PM,5.9
1/5/2015,3:00 PM,2.8
1/5/2015,4:00 PM,0.0
1/5/2015,5:00 PM,
1/5/2015,6:00 PM,
1/5/2015,7:00 PM,0.1
1/5/2015,8:00 PM,2.9
1/5/2015,9:00 PM,0.0
1/5/2015,10:00 PM,1.4
1/5/2015,11:00 PM,11.1
1/5/2015,24:00 AM,14.7
1/6/2015,1:00 AM,8.0
1/6/2015,2:00 AM,7.9
1/6/2015,3:00 AM,6.0
1/6/2015,4:00 AM,5.0
1/6/2015,5:00 AM,4.0
1/6/2015,6:00 AM,4.0
1/6/2015,7:00 AM,5.1
1/6/2015,8:00 AM,6.9
1/6/2015,9:00 AM,5.1
1/6/2015,10:00 AM,8.9
1/6/2015,11:00 AM,7.2
1/6/2015,12:00 PM,11.9
1/6/2015,1:00 PM,8.9
1/6/2015,2:00 PM,6.3
1/6/2015,3:00 PM,14.0
1/6/2015,4:00 PM,12.9
1/6/2015,5:00 PM,11.0
1/6/2015,6:00 PM,9.8
1/6/2015,7:00 PM,5.1
1/6/2015,8:00 PM,7.0
1/6/2015,9:00 PM,7.0
1/6/2015,10:00 PM,6.2
1/6/2015,11:00 PM,10.0
1/6/2015,24:00 AM,8.9
1/7/2015,1:00 AM,6.9
1/7/2015,2:00 AM,4.0
1/7/2015,3:00 AM,3.0
1/7/2015,4:00 AM,2.2
1/7/2015,5:00 AM,6.9
1/7/2015,6:00 AM,5.0
1/7/2015,7:00 AM,5.1
1/7/2015,8:00 AM,6.9
1/7/2015,9:00 AM,5.1
1/7/2015,10:00 AM,8.3
1/7/2015,11:00 AM,14.8
1/7/2015,12:00 PM,8.9
1/7/2015,1:00 PM,6.0
1/7/2015,2:00 PM,6.1
1/7/2015,3:00 PM,8.0
1/7/2015,4:00 PM,6.8
1/7/2015,5:00 PM,3.0
1/7/2015,6:00 PM,2.4
1/7/2015,7:00 PM,13.0
1/7/2015,8:00 PM,14.1
1/7/2015,9:00 PM,15.9
1/7/2015,10:00 PM,12.8
1/7/2015,11:00 PM,8.9
1/7/2015,24:00 AM,6.1
1/8/2015,1:00 AM,8.0
1/8/2015,2:00 AM,6.9
1/8/2015,3:00 AM,3.9
1/8/2015,4:00 AM,2.0
1/8/2015,5:00 AM,1.0
1/8/2015,6:00 AM,2.0
1/8/2015,7:00 AM,0.9
1/8/2015,8:00 AM,0.0
1/8/2015,9:00 AM,1.9
1/8/2015,10:00 AM,0.0
1/8/2015,11:00 AM,0.0
1/8/2015,12:00 PM,0.0
1/8/2015,1:00 PM,3.1
1/8/2015,2:00 PM,6.2
1/8/2015,3:00 PM,11.8
1/8/2015,4:00 PM,6.9
1/8/2015,5:00 PM,4.0
1/8/2015,6:00 PM,3.1
1/8/2015,7:00 PM,6.0
1/8/2015,8:00 PM,7.1
1/8/2015,9:00 PM,8.8
1/8/2015,10:00 PM,5.2
1/8/2015,11:00 PM,10.0
1/8/2015,24:00 AM,9.1
1/9/2015,1:00 AM,11.2
1/9/2015,2:00 AM,15.1
1/9/2015,3:00 AM,17.9
1/9/2015,4:00 AM,15.1
1/9/2015,5:00 AM,17.8
1/9/2015,6:00 AM,14.1
1/9/2015,7:00 AM,15.9
1/9/2015,8:00 AM,13.2
1/9/2015,9:00 AM,16.9
1/9/2015,10:00 AM,15.3
1/9/2015,11:00 AM,22.4
1/9/2015,12:00 PM,32.4
1/9/2015,1:00 PM,18.8
1/9/2015,2:00 PM,13.2
1/9/2015,3:00 PM,18.9
1/9/2015,4:00 PM,16.0
1/9/2015,5:00 PM,17.4
1/9/2015,6:00 PM,27.3
1/9/2015,7:00 PM,10.2
1/9/2015,8:00 PM,14.8
1/9/2015,9:00 PM,11.2
1/9/2015,10:00 PM,16.8
1/9/2015,11:00 PM,11.9
1/9/2015,24:00 AM,10.0
1/10/2015,1:00 AM,9.0
1/10/2015,2:00 AM,8.9
1/10/2015,3:00 AM,6.3
1/10/2015,4:00 AM,13.0
1/10/2015,5:00 AM,14.0
1/10/2015,6:00 AM,15.1
1/10/2015,7:00 AM,17.9
1/10/2015,8:00 AM,15.0
1/10/2015,9:00 AM,14.2
1/10/2015,10:00 AM,18.8
1/10/2015,11:00 AM,15.2
1/10/2015,12:00 PM,18.9
1/10/2015,1:00 PM,15.9
1/10/2015,2:00 PM,13.0
1/10/2015,3:00 PM,12.0
1/10/2015,4:00 PM,10.9
1/10/2015,5:00 PM,9.1
1/10/2015,6:00 PM,12.0
1/10/2015,7:00 PM,11.1
1/10/2015,8:00 PM,13.8
1/10/2015,9:00 PM,8.9
1/10/2015,10:00 PM,6.1
1/10/2015,11:00 PM,9.0
1/10/2015,24:00 AM,10.1
1/11/2015,1:00 AM,13.1
1/11/2015,2:00 AM,16.1
1/11/2015,3:00 AM,18.9
1/11/2015,4:00 AM,16.1
1/11/2015,5:00 AM,18.0
1/11/2015,6:00 AM,17.8
1/11/2015,7:00 AM,13.0
1/11/2015,8:00 AM,13.0
1/11/2015,9:00 AM,12.0
1/11/2015,10:00 AM,12.2
1/11/2015,11:00 AM,16.9
1/11/2015,12:00 PM,13.8
1/11/2015,1:00 PM,9.0
1/11/2015,2:00 PM,7.9
1/11/2015,3:00 PM,6.2
1/11/2015,4:00 PM,12.0
1/11/2015,5:00 PM,13.0
1/11/2015,6:00 PM,14.0
1/11/2015,7:00 PM,14.0
1/11/2015,8:00 PM,12.8
1/11/2015,9:00 PM,9.4
1/11/2015,10:00 PM,19.8
1/11/2015,11:00 PM,15.7
1/11/2015,24:00 AM,10.2
1/12/2015,1:00 AM,13.9
1/12/2015,2:00 AM,11.0
1/12/2015,3:00 AM,10.1
1/12/2015,4:00 AM,12.0
1/12/2015,5:00 AM,12.8
1/12/2015,6:00 AM,8.9
1/12/2015,7:00 AM,7.1
1/12/2015,8:00 AM,10.1
1/12/2015,9:00 AM,12.1
1/12/2015,10:00 AM,13.8
1/12/2015,11:00 AM,10.1
1/12/2015,12:00 PM,12.0
1/12/2015,1:00 PM,13.0
1/12/2015,2:00 PM,12.0
1/12/2015,3:00 PM,12.0
1/12/2015,4:00 PM,11.2
1/12/2015,5:00 PM,14.7
1/12/2015,6:00 PM,8.0
1/12/2015,7:00 PM,7.2
1/12/2015,8:00 PM,11.1
1/12/2015,9:00 PM,14.5
1/12/2015,10:00 PM,26.6
1/12/2015,11:00 PM,18.3
1/12/2015,24:00 AM,25.8
1/13/2015,1:00 AM,21.5
1/13/2015,2:00 AM,10.0
1/13/2015,3:00 AM,8.9
1/13/2015,4:00 AM,6.2
1/13/2015,5:00 AM,9.8
1/13/2015,6:00 AM,6.0
1/13/2015,7:00 AM,7.1
1/13/2015,8:00 AM,9.1
1/13/2015,9:00 AM,11.2
1/13/2015,10:00 AM,14.9
1/13/2015,11:00 AM,12.3
1/13/2015,12:00 PM,20.9
1/13/2015,1:00 PM,17.9
1/13/2015,2:00 PM,14.0
1/13/2015,3:00 PM,14.0
1/13/2015,4:00 PM,14.8
1/13/2015,5:00 PM,8.0
1/13/2015,6:00 PM,8.1
1/13/2015,7:00 PM,10.0
1/13/2015,8:00 PM,10.0
