0,1,2,3
Date,Time,PM25_BAM,PM25_T640
,,ug/m3,ug/m3
12/31/2015,24:00 AM,5.1,
1/1/2016,1:00 AM,4.5,
1/1/2016,2:00 AM,5.4,
1/1/2016,3:00 AM,4.5,
1/1/2016,4:00 AM,4.6,
1/1/2016,5:00 AM,4.4,
1/1/2016,6:00 AM,4.9,
1/1/2016,7:00 AM,5.0,
1/1/2016,8:00 AM,4.9,
1/1/2016,9:00 AM,5.8,
1/1/2016,10:00 AM,4.4,
1/1/2016,11:00 AM,7.1,
1/1/2016,12:00 PM,11.5,
1/1/2016,1:00 PM,11.0,
1/1/2016,2:00 PM,9.2,
1/1/2016,3:00 PM,7.7,
1/1/2016,4:00 PM,6.7,
1/1/2016,5:00 PM,6.1,
1/1/2016,6:00 PM,4.4,
1/1/2016,7:00 PM,4.5,
1/1/2016,8:00 PM,4.8,
1/1/2016,9:00 PM,3.2,
1/1/2016,10:00 PM,1.9,
1/1/2016,11:00 PM,2.3,
1/1/2016,24:00 AM,3.5,
1/2/2016,1:00 AM,3.0,
1/2/2016,2:00 AM,1.4,
1/2/2016,3:00 AM,2.7,
1/2/2016,4:00 AM,5.1,
1/2/2016,5:00 AM,6.1,
1/2/2016,6:00 AM,6.4,
1/2/2016,7:00 AM,4.1,
1/2/2016,8:00 AM,2.2,
1/2/2016,9:00 AM,3.6,
1/2/2016,10:00 AM,4.9,
1/2/2016,11:00 AM,9.0,
1/2/2016,12:00 PM,19.9,
1/2/2016,1:00 PM,10.2,
1/2/2016,2:00 PM,10.5,
1/2/2016,3:00 PM,9.3,
1/2/2016,4:00 PM,6.1,
1/2/2016,5:00 PM,5.4,
1/2/2016,6:00 PM,5.1,
1/2/2016,7:00 PM,3.5,
1/2/2016,8:00 PM,3.5,
1/2/2016,9:00 PM,1.6,
1/2/2016,10:00 PM,3.4,
1/2/2016,11:00 PM,4.5,
1/2/2016,24:00 AM,2.9,
1/3/2016,1:00 AM,5.1,
1/3/2016,2:00 AM,5.5,
1/3/2016,3:00 AM,2.8,
1/3/2016,4:00 AM,4.3,
1/3/2016,5:00 AM,4.5,
1/3/2016,6:00 AM,2.3,
1/3/2016,7:00 AM,2.5,
1/3/2016,8:00 AM,3.4,
1/3/2016,9:00 AM,2.8,
1/3/2016,10:00 AM,2.1,
1/3/2016,11:00 AM,5.8,
1/3/2016,12:00 PM,8.9,
1/3/2016,1:00 PM,8.3,
1/3/2016,2:00 PM,5.3,
1/3/2016,3:00 PM,5.1,
1/3/2016,4:00 PM,4.0,
1/3/2016,5:00 PM,6.5,
