0,1,2
Date,Time,PM25_5030i
,,ug/m3
12/31/2014,24:00 AM,
1/1/2015,1:00 AM,
1/1/2015,2:00 AM,
1/1/2015,3:00 AM,
1/1/2015,4:00 AM,
1/1/2015,5:00 AM,
1/1/2015,6:00 AM,
1/1/2015,7:00 AM,
1/1/2015,8:00 AM,
1/1/2015,9:00 AM,
1/1/2015,10:00 AM,
1/1/2015,11:00 AM,
1/1/2015,12:00 PM,
1/1/2015,1:00 PM,
1/1/2015,2:00 PM,
1/1/2015,3:00 PM,
1/1/2015,4:00 PM,
1/1/2015,5:00 PM,
1/1/2015,6:00 PM,
1/1/2015,7:00 PM,
1/1/2015,8:00 PM,
1/1/2015,9:00 PM,
1/1/2015,10:00 PM,
1/1/2015,11:00 PM,
1/1/2015,24:00 AM,
1/2/2015,1:00 AM,
1/2/2015,2:00 AM,
1/2/2015,3:00 AM,
1/2/2015,4:00 AM,
1/2/2015,5:00 AM,
1/2/2015,6:00 AM,
1/2/2015,7:00 AM,
1/2/2015,8:00 AM,
1/2/2015,9:00 AM,
1/2/2015,10:00 AM,
1/2/2015,11:00 AM,
1/2/2015,12:00 PM,
1/2/2015,1:00 PM,
1/2/2015,2:00 PM,
1/2/2015,3:00 PM,
1/2/2015,4:00 PM,
1/2/2015,5:00 PM,
1/2/2015,6:00 PM,
1/2/2015,7:00 PM,
1/2/2015,8:00 PM,
1/2/2015,9:00 PM,
1/2/2015,10:00 PM,
1/2/2015,11:00 PM,
1/2/2015,24:00 AM,
1/3/2015,1:00 AM,
1/3/2015,2:00 AM,
1/3/2015,3:00 AM,
1/3/2015,4:00 AM,
1/3/2015,5:00 AM,
1/3/2015,6:00 AM,
1/3/2015,7:00 AM,
1/3/2015,8:00 AM,
1/3/2015,9:00 AM,
1/3/2015,10:00 AM,
1/3/2015,11:00 AM,
1/3/2015,12:00 PM,
1/3/2015,1:00 PM,
1/3/2015,2:00 PM,
1/3/2015,3:00 PM,
1/3/2015,4:00 PM,
1/3/2015,5:00 PM,
1/3/2015,6:00 PM,
1/3/2015,7:00 PM,
1/3/2015,8:00 PM,
1/3/2015,9:00 PM,
1/3/2015,10:00 PM,
1/3/2015,11:00 PM,
1/3/2015,24:00 AM,
1/4/2015,1:00 AM,
1/4/2015,2:00 AM,
1/4/2015,3:00 AM,
1/4/2015,4:00 AM,
1/4/2015,5:00 AM,
1/4/2015,6:00 AM,
1/4/2015,7:00 AM,
1/4/2015,8:00 AM,
1/4/2015,9:00 AM,
1/4/2015,10:00 AM,
1/4/2015,11:00 AM,
1/4/2015,12:00 PM,
1/4/2015,1:00 PM,
1/4/2015,2:00 PM,
1/4/2015,3:00 PM,
1/4/2015,4:00 PM,
1/4/2015,5:00 PM,
1/4/2015,6:00 PM,
1/4/2015,7:00 PM,
1/4/2015,8:00 PM,
1/4/2015,9:00 PM,
1/4/2015,10:00 PM,
1/4/2015,11:00 PM,
1/4/2015,24:00 AM,
1/5/2015,1:00 AM,
1/5/2015,2:00 AM,
1/5/2015,3:00 AM,
1/5/2015,4:00 AM,
1/5/2015,5:00 AM,
1/5/2015,6:00 AM,
1/5/2015,7:00 AM,
1/5/2015,8:00 AM,
1/5/2015,9:00 AM,
1/5/2015,10:00 AM,
1/5/2015,11:00 AM,
1/5/2015,12:00 PM,
1/5/2015,1:00 PM,
1/5/2015,2:00 PM,
1/5/2015,3:00 PM,
1/5/2015,4:00 PM,
1/5/2015,5:00 PM,
1/5/2015,6:00 PM,
1/5/2015,7:00 PM,
1/5/2015,8:00 PM,
1/5/2015,9:00 PM,
1/5/2015,10:00 PM,
1/5/2015,11:00 PM,
1/5/2015,24:00 AM,
1/6/2015,1:00 AM,
1/6/2015,2:00 AM,
1/6/2015,3:00 AM,
1/6/2015,4:00 AM,
1/6/2015,5:00 AM,
1/6/2015,6:00 AM,
1/6/2015,7:00 AM,
1/6/2015,8:00 AM,
1/6/2015,9:00 AM,
1/6/2015,10:00 AM,
1/6/2015,11:00 AM,
