0,1,2
Date,Time,PM25_BAM
,,ug/m3
12/31/2011,24:00 AM,49.9
1/1/2012,1:00 AM,49.6
1/1/2012,2:00 AM,29.2
1/1/2012,3:00 AM,32.5
1/1/2012,4:00 AM,15.3
1/1/2012,5:00 AM,10.2
1/1/2012,6:00 AM,8.5
1/1/2012,7:00 AM,6.7
1/1/2012,8:00 AM,6.2
1/1/2012,9:00 AM,6.3
1/1/2012,10:00 AM,9.6
1/1/2012,11:00 AM,12.9
1/1/2012,12:00 PM,11.4
1/1/2012,1:00 PM,9.9
1/1/2012,2:00 PM,11.3
1/1/2012,3:00 PM,12.2
1/1/2012,4:00 PM,13.0
1/1/2012,5:00 PM,27.3
1/1/2012,6:00 PM,35.0
1/1/2012,7:00 PM,30.1
1/1/2012,8:00 PM,26.7
1/1/2012,9:00 PM,13.7
1/1/2012,10:00 PM,16.4
1/1/2012,11:00 PM,11.3
1/1/2012,24:00 AM,11.8
1/2/2012,1:00 AM,8.5
1/2/2012,2:00 AM,6.7
1/2/2012,3:00 AM,8.3
1/2/2012,4:00 AM,6.7
1/2/2012,5:00 AM,5.6
1/2/2012,6:00 AM,7.4
1/2/2012,7:00 AM,6.4
1/2/2012,8:00 AM,5.5
1/2/2012,9:00 AM,7.9
1/2/2012,10:00 AM,10.0
1/2/2012,11:00 AM,9.5
1/2/2012,12:00 PM,7.2
1/2/2012,1:00 PM,9.4
1/2/2012,2:00 PM,11.6
1/2/2012,3:00 PM,15.1
1/2/2012,4:00 PM,24.8
1/2/2012,5:00 PM,22.0
1/2/2012,6:00 PM,36.8
1/2/2012,7:00 PM,32.2
1/2/2012,8:00 PM,55.6
1/2/2012,9:00 PM,42.3
1/2/2012,10:00 PM,30.6
1/2/2012,11:00 PM,39.2
1/2/2012,24:00 AM,20.6
1/3/2012,1:00 AM,3.8
1/3/2012,2:00 AM,4.4
1/3/2012,3:00 AM,0.6
1/3/2012,4:00 AM,0.0
1/3/2012,5:00 AM,4.5
1/3/2012,6:00 AM,3.3
1/3/2012,7:00 AM,1.6
1/3/2012,8:00 AM,4.9
1/3/2012,9:00 AM,6.4
1/3/2012,10:00 AM,6.9
1/3/2012,11:00 AM,8.9
1/3/2012,12:00 PM,16.9
1/3/2012,1:00 PM,
1/3/2012,2:00 PM,1.8
1/3/2012,3:00 PM,2.6
1/3/2012,4:00 PM,5.5
1/3/2012,5:00 PM,8.7
1/3/2012,6:00 PM,11.6
1/3/2012,7:00 PM,13.7
1/3/2012,8:00 PM,10.7
1/3/2012,9:00 PM,8.1
1/3/2012,10:00 PM,10.9
1/3/2012,11:00 PM,19.1
1/3/2012,24:00 AM,13.7
1/4/2012,1:00 AM,9.6
1/4/2012,2:00 AM,0.6
1/4/2012,3:00 AM,0.0
1/4/2012,4:00 AM,2.1
1/4/2012,5:00 AM,0.8
1/4/2012,6:00 AM,0.1
1/4/2012,7:00 AM,0.0
1/4/2012,8:00 AM,0.2
1/4/2012,9:00 AM,1.0
1/4/2012,10:00 AM,0.0
1/4/2012,11:00 AM,0.7
1/4/2012,12:00 PM,1.5
1/4/2012,1:00 PM,2.4
1/4/2012,2:00 PM,0.9
1/4/2012,3:00 PM,0.0
1/4/2012,4:00 PM,1.2
1/4/2012,5:00 PM,5.5
1/4/2012,6:00 PM,7.0
1/4/2012,7:00 PM,2.8
1/4/2012,8:00 PM,3.7
1/4/2012,9:00 PM,7.0
1/4/2012,10:00 PM,6.9
1/4/2012,11:00 PM,9.4
1/4/2012,24:00 AM,7.7
1/5/2012,1:00 AM,4.8
1/5/2012,2:00 AM,7.5
1/5/2012,3:00 AM,6.7
1/5/2012,4:00 AM,3.6
1/5/2012,5:00 AM,3.4
1/5/2012,6:00 AM,1.0
1/5/2012,7:00 AM,0.0
1/5/2012,8:00 AM,1.7
1/5/2012,9:00 AM,4.3
1/5/2012,10:00 AM,5.9
1/5/2012,11:00 AM,6.3
1/5/2012,12:00 PM,6.7
1/5/2012,1:00 PM,1.8
1/5/2012,2:00 PM,1.5
1/5/2012,3:00 PM,5.1
1/5/2012,4:00 PM,3.5
1/5/2012,5:00 PM,3.3
1/5/2012,6:00 PM,2.4
1/5/2012,7:00 PM,5.2
1/5/2012,8:00 PM,6.1
1/5/2012,9:00 PM,20.6
1/5/2012,10:00 PM,6.2
1/5/2012,11:00 PM,21.7
1/5/2012,24:00 AM,39.1
1/6/2012,1:00 AM,50.4
1/6/2012,2:00 AM,35.6
1/6/2012,3:00 AM,21.8
1/6/2012,4:00 AM,21.2
1/6/2012,5:00 AM,18.2
1/6/2012,6:00 AM,13.6
1/6/2012,7:00 AM,12.9
1/6/2012,8:00 AM,11.4
1/6/2012,9:00 AM,15.5
1/6/2012,10:00 AM,16.8
1/6/2012,11:00 AM,20.5
1/6/2012,12:00 PM,9.8
1/6/2012,1:00 PM,9.2
1/6/2012,2:00 PM,
1/6/2012,3:00 PM,7.2
1/6/2012,4:00 PM,5.0
1/6/2012,5:00 PM,4.5
1/6/2012,6:00 PM,5.3
1/6/2012,7:00 PM,9.6
1/6/2012,8:00 PM,11.2
1/6/2012,9:00 PM,6.4
1/6/2012,10:00 PM,6.1
1/6/2012,11:00 PM,17.8
1/6/2012,24:00 AM,10.3
1/7/2012,1:00 AM,9.6
1/7/2012,2:00 AM,9.7
1/7/2012,3:00 AM,10.8
1/7/2012,4:00 AM,8.3
1/7/2012,5:00 AM,4.0
1/7/2012,6:00 AM,2.4
1/7/2012,7:00 AM,3.4
1/7/2012,8:00 AM,7.9
1/7/2012,9:00 AM,10.2
1/7/2012,10:00 AM,8.9
1/7/2012,11:00 AM,7.5
1/7/2012,12:00 PM,7.5
1/7/2012,1:00 PM,8.6
1/7/2012,2:00 PM,7.3
1/7/2012,3:00 PM,3.5
1/7/2012,4:00 PM,1.4
1/7/2012,5:00 PM,2.3
1/7/2012,6:00 PM,2.9
1/7/2012,7:00 PM,4.6
1/7/2012,8:00 PM,5.0
1/7/2012,9:00 PM,7.6
1/7/2012,10:00 PM,9.3
1/7/2012,11:00 PM,8.2
1/7/2012,24:00 AM,7.2
1/8/2012,1:00 AM,4.9
1/8/2012,2:00 AM,7.2
1/8/2012,3:00 AM,8.0
1/8/2012,4:00 AM,6.0
1/8/2012,5:00 AM,6.0
1/8/2012,6:00 AM,4.3
1/8/2012,7:00 AM,1.6
1/8/2012,8:00 AM,2.0
1/8/2012,9:00 AM,4.5
1/8/2012,10:00 AM,4.0
1/8/2012,11:00 AM,4.3
1/8/2012,12:00 PM,5.9
1/8/2012,1:00 PM,5.0
1/8/2012,2:00 PM,4.9
1/8/2012,3:00 PM,5.5
1/8/2012,4:00 PM,18.8
1/8/2012,5:00 PM,6.9
1/8/2012,6:00 PM,16.2
1/8/2012,7:00 PM,19.1
1/8/2012,8:00 PM,15.0
1/8/2012,9:00 PM,9.5
1/8/2012,10:00 PM,4.6
1/8/2012,11:00 PM,6.5
1/8/2012,24:00 AM,11.0
1/9/2012,1:00 AM,9.4
1/9/2012,2:00 AM,3.2
1/9/2012,3:00 AM,1.6
1/9/2012,4:00 AM,0.1
1/9/2012,5:00 AM,0.0
1/9/2012,6:00 AM,0.1
1/9/2012,7:00 AM,2.0
1/9/2012,8:00 AM,2.6
1/9/2012,9:00 AM,2.5
1/9/2012,10:00 AM,2.3
1/9/2012,11:00 AM,
1/9/2012,12:00 PM,
1/9/2012,1:00 PM,1.2
1/9/2012,2:00 PM,0.4
1/9/2012,3:00 PM,1.4
1/9/2012,4:00 PM,6.2
1/9/2012,5:00 PM,10.6
1/9/2012,6:00 PM,8.2
1/9/2012,7:00 PM,7.2
1/9/2012,8:00 PM,10.7
1/9/2012,9:00 PM,13.0
1/9/2012,10:00 PM,26.1
1/9/2012,11:00 PM,21.7
1/9/2012,24:00 AM,9.3
1/10/2012,1:00 AM,15.9
1/10/2012,2:00 AM,12.6
1/10/2012,3:00 AM,9.7
1/10/2012,4:00 AM,8.4
1/10/2012,5:00 AM,10.0
1/10/2012,6:00 AM,4.2
1/10/2012,7:00 AM,1.3
1/10/2012,8:00 AM,4.1
1/10/2012,9:00 AM,2.1
1/10/2012,10:00 AM,2.2
1/10/2012,11:00 AM,3.2
1/10/2012,12:00 PM,0.5
1/10/2012,1:00 PM,0.1
1/10/2012,2:00 PM,4.0
1/10/2012,3:00 PM,4.6
1/10/2012,4:00 PM,4.3
1/10/2012,5:00 PM,6.7
1/10/2012,6:00 PM,9.8
1/10/2012,7:00 PM,36.0
1/10/2012,8:00 PM,28.6
1/10/2012,9:00 PM,39.8
1/10/2012,10:00 PM,61.2
1/10/2012,11:00 PM,33.7
1/10/2012,24:00 AM,15.1
1/11/2012,1:00 AM,3.6
1/11/2012,2:00 AM,6.0
1/11/2012,3:00 AM,9.1
1/11/2012,4:00 AM,5.9
1/11/2012,5:00 AM,5.8
1/11/2012,6:00 AM,4.7
1/11/2012,7:00 AM,2.9
1/11/2012,8:00 AM,5.5
1/11/2012,9:00 AM,8.2
1/11/2012,10:00 AM,9.3
1/11/2012,11:00 AM,6.0
1/11/2012,12:00 PM,5.0
1/11/2012,1:00 PM,4.3
1/11/2012,2:00 PM,2.5
1/11/2012,3:00 PM,5.0
1/11/2012,4:00 PM,8.7
1/11/2012,5:00 PM,9.7
1/11/2012,6:00 PM,49.0
1/11/2012,7:00 PM,50.5
1/11/2012,8:00 PM,49.2
1/11/2012,9:00 PM,39.0
1/11/2012,10:00 PM,53.9
1/11/2012,11:00 PM,42.4
1/11/2012,24:00 AM,45.8
1/12/2012,1:00 AM,38.6
1/12/2012,2:00 AM,51.0
1/12/2012,3:00 AM,34.4
1/12/2012,4:00 AM,24.4
1/12/2012,5:00 AM,17.9
1/12/2012,6:00 AM,
1/12/2012,7:00 AM,
1/12/2012,8:00 AM,
1/12/2012,9:00 AM,
1/12/2012,10:00 AM,
1/12/2012,11:00 AM,
1/12/2012,12:00 PM,
1/12/2012,1:00 PM,
1/12/2012,2:00 PM,
1/12/2012,3:00 PM,
1/12/2012,4:00 PM,
1/12/2012,5:00 PM,20.0
1/12/2012,6:00 PM,22.4
1/12/2012,7:00 PM,18.9
1/12/2012,8:00 PM,35.4
1/12/2012,9:00 PM,44.0
1/12/2012,10:00 PM,40.9
1/12/2012,11:00 PM,43.5
1/12/2012,24:00 AM,41.0
1/13/2012,1:00 AM,14.8
1/13/2012,2:00 AM,14.2
1/13/2012,3:00 AM,15.7
1/13/2012,4:00 AM,13.2
1/13/2012,5:00 AM,13.3
1/13/2012,6:00 AM,10.8
1/13/2012,7:00 AM,4.3
1/13/2012,8:00 AM,0.7
1/13/2012,9:00 AM,5.5
1/13/2012,10:00 AM,9.6
1/13/2012,11:00 AM,
1/13/2012,12:00 PM,7.7
1/13/2012,1:00 PM,1.6
1/13/2012,2:00 PM,1.2
1/13/2012,3:00 PM,18.2
1/13/2012,4:00 PM,19.5
1/13/2012,5:00 PM,12.0
1/13/2012,6:00 PM,20.5
1/13/2012,7:00 PM,21.7
1/13/2012,8:00 PM,26.2
1/13/2012,9:00 PM,29.8
1/13/2012,10:00 PM,21.7
