0,1,2
Date,Time,PM25_SHARP
,,ug/m3
12/31/2018,24:00 AM,6.4
1/1/2019,1:00 AM,7.4
1/1/2019,2:00 AM,16.3
1/1/2019,3:00 AM,13.2
1/1/2019,4:00 AM,19.3
1/1/2019,5:00 AM,16.1
1/1/2019,6:00 AM,2.4
1/1/2019,7:00 AM,1.7
1/1/2019,8:00 AM,3.4
1/1/2019,9:00 AM,6.3
1/1/2019,10:00 AM,4.8
1/1/2019,11:00 AM,3.8
1/1/2019,12:00 PM,1.4
1/1/2019,1:00 PM,1.5
1/1/2019,2:00 PM,1.7
1/1/2019,3:00 PM,2.3
1/1/2019,4:00 PM,4.1
1/1/2019,5:00 PM,5.5
1/1/2019,6:00 PM,2.2
1/1/2019,7:00 PM,1.1
1/1/2019,8:00 PM,1.2
1/1/2019,9:00 PM,1.1
1/1/2019,10:00 PM,1.3
1/1/2019,11:00 PM,2.0
1/1/2019,24:00 AM,1.1
1/2/2019,1:00 AM,0.7
1/2/2019,2:00 AM,0.9
1/2/2019,3:00 AM,0.8
1/2/2019,4:00 AM,1.7
1/2/2019,5:00 AM,2.0
1/2/2019,6:00 AM,1.6
1/2/2019,7:00 AM,2.0
1/2/2019,8:00 AM,1.8
1/2/2019,9:00 AM,1.4
1/2/2019,10:00 AM,1.9
1/2/2019,11:00 AM,1.7
1/2/2019,12:00 PM,1.6
1/2/2019,1:00 PM,1.3
1/2/2019,2:00 PM,1.4
1/2/2019,3:00 PM,2.1
1/2/2019,4:00 PM,2.2
1/2/2019,5:00 PM,2.5
1/2/2019,6:00 PM,2.3
1/2/2019,7:00 PM,2.1
1/2/2019,8:00 PM,1.7
1/2/2019,9:00 PM,2.3
1/2/2019,10:00 PM,3.9
1/2/2019,11:00 PM,2.7
1/2/2019,24:00 AM,2.8
1/3/2019,1:00 AM,2.6
1/3/2019,2:00 AM,2.1
1/3/2019,3:00 AM,1.7
1/3/2019,4:00 AM,1.8
1/3/2019,5:00 AM,1.6
1/3/2019,6:00 AM,1.2
1/3/2019,7:00 AM,1.4
1/3/2019,8:00 AM,1.3
1/3/2019,9:00 AM,1.3
1/3/2019,10:00 AM,1.0
1/3/2019,11:00 AM,1.2
1/3/2019,12:00 PM,1.8
1/3/2019,1:00 PM,1.8
1/3/2019,2:00 PM,3.4
1/3/2019,3:00 PM,2.2
1/3/2019,4:00 PM,1.8
1/3/2019,5:00 PM,3.4
1/3/2019,6:00 PM,2.4
1/3/2019,7:00 PM,7.0
1/3/2019,8:00 PM,2.6
