0,1,2
Date,Time,PM25_BAM
,,ug/m3
12/31/2019,24:00 AM,3.0
1/1/2020,1:00 AM,7.0
1/1/2020,2:00 AM,8.0
1/1/2020,3:00 AM,7.0
1/1/2020,4:00 AM,11.0
1/1/2020,5:00 AM,12.0
1/1/2020,6:00 AM,9.0
1/1/2020,7:00 AM,6.0
1/1/2020,8:00 AM,5.0
1/1/2020,9:00 AM,6.0
1/1/2020,10:00 AM,6.0
1/1/2020,11:00 AM,6.0
1/1/2020,12:00 PM,5.0
1/1/2020,1:00 PM,4.0
1/1/2020,2:00 PM,3.0
1/1/2020,3:00 PM,5.0
1/1/2020,4:00 PM,4.0
1/1/2020,5:00 PM,1.0
1/1/2020,6:00 PM,3.0
1/1/2020,7:00 PM,4.0
1/1/2020,8:00 PM,2.0
1/1/2020,9:00 PM,2.0
1/1/2020,10:00 PM,5.0
1/1/2020,11:00 PM,4.0
1/1/2020,24:00 AM,4.0
1/2/2020,1:00 AM,2.0
1/2/2020,2:00 AM,2.0
1/2/2020,3:00 AM,4.0
1/2/2020,4:00 AM,0.0
1/2/2020,5:00 AM,0.0
1/2/2020,6:00 AM,1.0
1/2/2020,7:00 AM,2.0
1/2/2020,8:00 AM,7.0
1/2/2020,9:00 AM,10.0
1/2/2020,10:00 AM,14.0
1/2/2020,11:00 AM,15.0
1/2/2020,12:00 PM,19.0
1/2/2020,1:00 PM,23.0
1/2/2020,2:00 PM,19.0
1/2/2020,3:00 PM,14.0
1/2/2020,4:00 PM,20.0
1/2/2020,5:00 PM,15.0
1/2/2020,6:00 PM,24.0
1/2/2020,7:00 PM,10.0
1/2/2020,8:00 PM,7.0
1/2/2020,9:00 PM,4.0
1/2/2020,10:00 PM,1.0
1/2/2020,11:00 PM,1.0
1/2/2020,24:00 AM,1.0
1/3/2020,1:00 AM,0.0
1/3/2020,2:00 AM,
1/3/2020,3:00 AM,
1/3/2020,4:00 AM,
1/3/2020,5:00 AM,
1/3/2020,6:00 AM,
1/3/2020,7:00 AM,
1/3/2020,8:00 AM,
1/3/2020,9:00 AM,
1/3/2020,10:00 AM,
1/3/2020,11:00 AM,
1/3/2020,12:00 PM,
1/3/2020,1:00 PM,
1/3/2020,2:00 PM,
1/3/2020,3:00 PM,
1/3/2020,4:00 PM,
1/3/2020,5:00 PM,
1/3/2020,6:00 PM,
1/3/2020,7:00 PM,
1/3/2020,8:00 PM,
1/3/2020,9:00 PM,
1/3/2020,10:00 PM,
1/3/2020,11:00 PM,
1/3/2020,24:00 AM,
1/4/2020,1:00 AM,
1/4/2020,2:00 AM,
1/4/2020,3:00 AM,
1/4/2020,4:00 AM,
1/4/2020,5:00 AM,
1/4/2020,6:00 AM,
1/4/2020,7:00 AM,
1/4/2020,8:00 AM,
1/4/2020,9:00 AM,
1/4/2020,10:00 AM,
1/4/2020,11:00 AM,
1/4/2020,12:00 PM,
1/4/2020,1:00 PM,
1/4/2020,2:00 PM,
1/4/2020,3:00 PM,
1/4/2020,4:00 PM,
1/4/2020,5:00 PM,
1/4/2020,6:00 PM,
1/4/2020,7:00 PM,
1/4/2020,8:00 PM,
1/4/2020,9:00 PM,
1/4/2020,10:00 PM,
1/4/2020,11:00 PM,
1/4/2020,24:00 AM,
1/5/2020,1:00 AM,
1/5/2020,2:00 AM,
1/5/2020,3:00 AM,
1/5/2020,4:00 AM,
1/5/2020,5:00 AM,
1/5/2020,6:00 AM,
1/5/2020,7:00 AM,
1/5/2020,8:00 AM,
1/5/2020,9:00 AM,
1/5/2020,10:00 AM,
1/5/2020,11:00 AM,
1/5/2020,12:00 PM,
1/5/2020,1:00 PM,
1/5/2020,2:00 PM,
1/5/2020,3:00 PM,
1/5/2020,4:00 PM,
1/5/2020,5:00 PM,
1/5/2020,6:00 PM,
1/5/2020,7:00 PM,
1/5/2020,8:00 PM,
1/5/2020,9:00 PM,
1/5/2020,10:00 PM,
1/5/2020,11:00 PM,
1/5/2020,24:00 AM,
1/6/2020,1:00 AM,
1/6/2020,2:00 AM,
1/6/2020,3:00 AM,
1/6/2020,4:00 AM,
1/6/2020,5:00 AM,
1/6/2020,6:00 AM,
1/6/2020,7:00 AM,
1/6/2020,8:00 AM,
1/6/2020,9:00 AM,
1/6/2020,10:00 AM,
1/6/2020,11:00 AM,
1/6/2020,12:00 PM,
1/6/2020,1:00 PM,
1/6/2020,2:00 PM,
1/6/2020,3:00 PM,7.0
1/6/2020,4:00 PM,21.0
1/6/2020,5:00 PM,18.0
1/6/2020,6:00 PM,23.0
1/6/2020,7:00 PM,23.0
1/6/2020,8:00 PM,27.0
1/6/2020,9:00 PM,24.0
1/6/2020,10:00 PM,30.0
1/6/2020,11:00 PM,29.0
1/6/2020,24:00 AM,43.0
1/7/2020,1:00 AM,50.0
1/7/2020,2:00 AM,30.0
1/7/2020,3:00 AM,37.0
1/7/2020,4:00 AM,34.0
1/7/2020,5:00 AM,23.0
1/7/2020,6:00 AM,23.0
1/7/2020,7:00 AM,28.0
1/7/2020,8:00 AM,28.0
1/7/2020,9:00 AM,23.0
1/7/2020,10:00 AM,27.0
1/7/2020,11:00 AM,25.0
1/7/2020,12:00 PM,
1/7/2020,1:00 PM,6.0
1/7/2020,2:00 PM,5.0
1/7/2020,3:00 PM,4.0
1/7/2020,4:00 PM,3.0
1/7/2020,5:00 PM,3.0
1/7/2020,6:00 PM,
1/7/2020,7:00 PM,1.0
1/7/2020,8:00 PM,
1/7/2020,9:00 PM,4.0
1/7/2020,10:00 PM,6.0
1/7/2020,11:00 PM,7.0
1/7/2020,24:00 AM,7.0
1/8/2020,1:00 AM,4.0
1/8/2020,2:00 AM,11.0
1/8/2020,3:00 AM,8.0
1/8/2020,4:00 AM,6.0
1/8/2020,5:00 AM,9.0
1/8/2020,6:00 AM,10.0
1/8/2020,7:00 AM,10.0
1/8/2020,8:00 AM,8.0
1/8/2020,9:00 AM,10.0
1/8/2020,10:00 AM,24.0
1/8/2020,11:00 AM,16.0
1/8/2020,12:00 PM,
1/8/2020,1:00 PM,13.0
1/8/2020,2:00 PM,6.0
1/8/2020,3:00 PM,3.0
1/8/2020,4:00 PM,5.0
1/8/2020,5:00 PM,46.0
1/8/2020,6:00 PM,17.0
1/8/2020,7:00 PM,12.0
1/8/2020,8:00 PM,18.0
1/8/2020,9:00 PM,5.0
1/8/2020,10:00 PM,3.0
1/8/2020,11:00 PM,3.0
1/8/2020,24:00 AM,5.0
1/9/2020,1:00 AM,3.0
1/9/2020,2:00 AM,2.0
1/9/2020,3:00 AM,3.0
1/9/2020,4:00 AM,6.0
1/9/2020,5:00 AM,26.0
1/9/2020,6:00 AM,12.0
1/9/2020,7:00 AM,18.0
1/9/2020,8:00 AM,17.0
1/9/2020,9:00 AM,14.0
1/9/2020,10:00 AM,13.0
1/9/2020,11:00 AM,12.0
1/9/2020,12:00 PM,12.0
1/9/2020,1:00 PM,8.0
1/9/2020,2:00 PM,
1/9/2020,3:00 PM,5.0
1/9/2020,4:00 PM,5.0
1/9/2020,5:00 PM,5.0
1/9/2020,6:00 PM,4.0
1/9/2020,7:00 PM,3.0
1/9/2020,8:00 PM,
1/9/2020,9:00 PM,7.0
1/9/2020,10:00 PM,7.0
1/9/2020,11:00 PM,11.0
1/9/2020,24:00 AM,
1/10/2020,1:00 AM,14.0
1/10/2020,2:00 AM,18.0
1/10/2020,3:00 AM,18.0
1/10/2020,4:00 AM,6.0
1/10/2020,5:00 AM,3.0
1/10/2020,6:00 AM,1.0
1/10/2020,7:00 AM,5.0
1/10/2020,8:00 AM,
1/10/2020,9:00 AM,
1/10/2020,10:00 AM,2.0
1/10/2020,11:00 AM,3.0
1/10/2020,12:00 PM,4.0
1/10/2020,1:00 PM,2.0
1/10/2020,2:00 PM,2.0
1/10/2020,3:00 PM,4.0
1/10/2020,4:00 PM,4.0
1/10/2020,5:00 PM,3.0
1/10/2020,6:00 PM,4.0
1/10/2020,7:00 PM,4.0
1/10/2020,8:00 PM,3.0
1/10/2020,9:00 PM,3.0
1/10/2020,10:00 PM,3.0
1/10/2020,11:00 PM,6.0
1/10/2020,24:00 AM,
1/11/2020,1:00 AM,6.0
1/11/2020,2:00 AM,5.0
1/11/2020,3:00 AM,4.0
1/11/2020,4:00 AM,
1/11/2020,5:00 AM,3.0
1/11/2020,6:00 AM,3.0
1/11/2020,7:00 AM,4.0
1/11/2020,8:00 AM,4.0
1/11/2020,9:00 AM,8.0
1/11/2020,10:00 AM,7.0
1/11/2020,11:00 AM,7.0
1/11/2020,12:00 PM,11.0
1/11/2020,1:00 PM,11.0
1/11/2020,2:00 PM,7.0
1/11/2020,3:00 PM,4.0
1/11/2020,4:00 PM,1.0
1/11/2020,5:00 PM,1.0
1/11/2020,6:00 PM,1.0
1/11/2020,7:00 PM,3.0
1/11/2020,8:00 PM,2.0
1/11/2020,9:00 PM,2.0
1/11/2020,10:00 PM,
1/11/2020,11:00 PM,3.0
1/11/2020,24:00 AM,3.0
1/12/2020,1:00 AM,
1/12/2020,2:00 AM,2.0
1/12/2020,3:00 AM,0.0
1/12/2020,4:00 AM,0.0
1/12/2020,5:00 AM,1.0
1/12/2020,6:00 AM,2.0
1/12/2020,7:00 AM,2.0
1/12/2020,8:00 AM,4.0
1/12/2020,9:00 AM,5.0
1/12/2020,10:00 AM,2.0
1/12/2020,11:00 AM,1.0
1/12/2020,12:00 PM,1.0
1/12/2020,1:00 PM,2.0
1/12/2020,2:00 PM,3.0
1/12/2020,3:00 PM,4.0
1/12/2020,4:00 PM,
1/12/2020,5:00 PM,6.0
1/12/2020,6:00 PM,8.0
1/12/2020,7:00 PM,15.0
1/12/2020,8:00 PM,
1/12/2020,9:00 PM,17.0
1/12/2020,10:00 PM,15.0
1/12/2020,11:00 PM,10.0
1/12/2020,24:00 AM,12.0
1/13/2020,1:00 AM,26.0
1/13/2020,2:00 AM,32.0
1/13/2020,3:00 AM,40.0
1/13/2020,4:00 AM,17.0
1/13/2020,5:00 AM,30.0
1/13/2020,6:00 AM,22.0
1/13/2020,7:00 AM,15.0
1/13/2020,8:00 AM,22.0
1/13/2020,9:00 AM,30.0
1/13/2020,10:00 AM,38.0
1/13/2020,11:00 AM,25.0
1/13/2020,12:00 PM,34.0
1/13/2020,1:00 PM,37.0
1/13/2020,2:00 PM,30.0
1/13/2020,3:00 PM,26.0
1/13/2020,4:00 PM,26.0
1/13/2020,5:00 PM,61.0
1/13/2020,6:00 PM,43.0
1/13/2020,7:00 PM,50.0
1/13/2020,8:00 PM,47.0
1/13/2020,9:00 PM,38.0
1/13/2020,10:00 PM,47.0
1/13/2020,11:00 PM,51.0
1/13/2020,24:00 AM,38.0
1/14/2020,1:00 AM,61.0
1/14/2020,2:00 AM,46.0
1/14/2020,3:00 AM,38.0
1/14/2020,4:00 AM,35.0
1/14/2020,5:00 AM,34.0
1/14/2020,6:00 AM,31.0
1/14/2020,7:00 AM,43.0
1/14/2020,8:00 AM,36.0
1/14/2020,9:00 AM,36.0
1/14/2020,10:00 AM,44.0
1/14/2020,11:00 AM,46.0
1/14/2020,12:00 PM,43.0
