0,1,2,3,4
Date,Time,PM25_TEOM,PM25_BAM,PM25
,,ug/m3,ug/m3,ug/m3
12/31/2022,24:00 AM,,2.0,2.0
1/1/2023,1:00 AM,,6.0,6.0
1/1/2023,2:00 AM,,20.0,20.0
1/1/2023,3:00 AM,,22.0,22.0
1/1/2023,4:00 AM,,23.0,23.0
1/1/2023,5:00 AM,,19.0,19.0
1/1/2023,6:00 AM,,16.0,16.0
1/1/2023,7:00 AM,,10.0,10.0
1/1/2023,8:00 AM,,11.0,11.0
1/1/2023,9:00 AM,,13.0,13.0
1/1/2023,10:00 AM,,7.0,7.0
1/1/2023,11:00 AM,,5.0,5.0
1/1/2023,12:00 PM,,6.0,6.0
1/1/2023,1:00 PM,,5.0,5.0
1/1/2023,2:00 PM,,7.0,7.0
1/1/2023,3:00 PM,,6.0,6.0
1/1/2023,4:00 PM,,4.0,4.0
1/1/2023,5:00 PM,,6.0,6.0
1/1/2023,6:00 PM,,13.0,13.0
1/1/2023,7:00 PM,,11.0,11.0
1/1/2023,8:00 PM,,8.0,8.0
1/1/2023,9:00 PM,,6.0,6.0
1/1/2023,10:00 PM,,11.0,11.0
1/1/2023,11:00 PM,,10.0,10.0
1/1/2023,24:00 AM,,5.0,5.0
1/2/2023,1:00 AM,,1.0,1.0
1/2/2023,2:00 AM,,1.0,1.0
1/2/2023,3:00 AM,,1.0,1.0
1/2/2023,4:00 AM,,2.0,2.0
1/2/2023,5:00 AM,,2.0,2.0
1/2/2023,6:00 AM,,2.0,2.0
1/2/2023,7:00 AM,,3.0,3.0
1/2/2023,8:00 AM,,3.0,3.0
1/2/2023,9:00 AM,,2.0,2.0
1/2/2023,10:00 AM,,3.0,3.0
1/2/2023,11:00 AM,,4.0,4.0
1/2/2023,12:00 PM,,2.0,2.0
1/2/2023,1:00 PM,,1.0,1.0
1/2/2023,2:00 PM,,1.0,1.0
1/2/2023,3:00 PM,,1.0,1.0
1/2/2023,4:00 PM,,4.0,4.0
1/2/2023,5:00 PM,,3.0,3.0
1/2/2023,6:00 PM,,6.0,6.0
1/2/2023,7:00 PM,,9.0,9.0
1/2/2023,8:00 PM,,6.0,6.0
1/2/2023,9:00 PM,,6.0,6.0
1/2/2023,10:00 PM,,4.0,4.0
1/2/2023,11:00 PM,,4.0,4.0
1/2/2023,24:00 AM,,6.0,6.0
1/3/2023,1:00 AM,,4.0,4.0
1/3/2023,2:00 AM,,5.0,5.0
1/3/2023,3:00 AM,,5.0,5.0
1/3/2023,4:00 AM,,5.0,5.0
1/3/2023,5:00 AM,,6.0,6.0
1/3/2023,6:00 AM,,7.0,7.0
1/3/2023,7:00 AM,,8.0,8.0
1/3/2023,8:00 AM,,5.0,5.0
1/3/2023,9:00 AM,,2.0,2.0
1/3/2023,10:00 AM,,3.0,3.0
1/3/2023,11:00 AM,,3.0,3.0
1/3/2023,12:00 PM,,5.0,5.0
1/3/2023,1:00 PM,,6.0,6.0
1/3/2023,2:00 PM,,4.0,4.0
1/3/2023,3:00 PM,,3.0,3.0
1/3/2023,4:00 PM,,4.0,4.0
1/3/2023,5:00 PM,,2.0,2.0
1/3/2023,6:00 PM,,3.0,3.0
