0,1,2,3
Date,Time,PM25_TEOM,PM25
,,ug/m3,ug/m3
12/31/2013,24:00 AM,27.6,44.0
1/1/2014,1:00 AM,20.7,39.0
1/1/2014,2:00 AM,27.0,45.0
1/1/2014,3:00 AM,15.2,27.0
1/1/2014,4:00 AM,8.5,16.0
1/1/2014,5:00 AM,16.9,26.0
1/1/2014,6:00 AM,14.1,27.0
1/1/2014,7:00 AM,13.4,23.0
1/1/2014,8:00 AM,11.3,21.0
1/1/2014,9:00 AM,14.4,26.0
1/1/2014,10:00 AM,10.5,19.0
1/1/2014,11:00 AM,5.6,13.0
1/1/2014,12:00 PM,1.5,8.0
1/1/2014,1:00 PM,0.0,5.0
1/1/2014,2:00 PM,,2.0
1/1/2014,3:00 PM,0.0,0.0
1/1/2014,4:00 PM,3.7,5.0
1/1/2014,5:00 PM,2.7,4.0
1/1/2014,6:00 PM,5.8,8.0
1/1/2014,7:00 PM,9.8,13.0
1/1/2014,8:00 PM,14.0,23.0
1/1/2014,9:00 PM,10.2,23.0
1/1/2014,10:00 PM,13.1,20.0
1/1/2014,11:00 PM,19.4,31.0
1/1/2014,24:00 AM,15.2,29.0
1/2/2014,1:00 AM,22.0,41.0
1/2/2014,2:00 AM,18.1,35.0
1/2/2014,3:00 AM,14.3,29.0
1/2/2014,4:00 AM,11.7,32.0
1/2/2014,5:00 AM,2.5,18.0
1/2/2014,6:00 AM,0.0,5.0
1/2/2014,7:00 AM,0.0,2.0
1/2/2014,8:00 AM,0.0,0.0
1/2/2014,9:00 AM,0.0,5.0
1/2/2014,10:00 AM,0.9,5.0
1/2/2014,11:00 AM,0.5,10.0
1/2/2014,12:00 PM,0.0,7.0
1/2/2014,1:00 PM,1.3,8.0
1/2/2014,2:00 PM,0.8,8.0
1/2/2014,3:00 PM,4.0,11.0
1/2/2014,4:00 PM,5.0,14.0
1/2/2014,5:00 PM,0.0,9.0
1/2/2014,6:00 PM,0.7,6.0
1/2/2014,7:00 PM,9.5,16.0
1/2/2014,8:00 PM,9.8,18.0
1/2/2014,9:00 PM,16.4,31.0
1/2/2014,10:00 PM,9.4,18.0
1/2/2014,11:00 PM,12.6,23.0
1/2/2014,24:00 AM,5.4,14.0
1/3/2014,1:00 AM,3.5,9.0
1/3/2014,2:00 AM,0.0,4.0
1/3/2014,3:00 AM,0.0,0.0
1/3/2014,4:00 AM,0.0,0.0
1/3/2014,5:00 AM,0.0,1.0
1/3/2014,6:00 AM,0.1,1.0
1/3/2014,7:00 AM,0.0,0.0
1/3/2014,8:00 AM,0.0,0.0
1/3/2014,9:00 AM,0.0,2.0
1/3/2014,10:00 AM,1.1,
1/3/2014,11:00 AM,1.3,5.0
