0,1,2
Date,Time,PM25
,,ug/m3
12/31/2022,24:00 AM,1.2
1/1/2023,1:00 AM,1.2
1/1/2023,2:00 AM,2.5
1/1/2023,3:00 AM,2.1
1/1/2023,4:00 AM,3.2
1/1/2023,5:00 AM,3.4
1/1/2023,6:00 AM,2.2
1/1/2023,7:00 AM,0.9
1/1/2023,8:00 AM,0.9
1/1/2023,9:00 AM,0.8
1/1/2023,10:00 AM,0.8
1/1/2023,11:00 AM,1.1
1/1/2023,12:00 PM,1.4
1/1/2023,1:00 PM,1.4
1/1/2023,2:00 PM,1.2
1/1/2023,3:00 PM,1.0
1/1/2023,4:00 PM,1.1
1/1/2023,5:00 PM,1.0
1/1/2023,6:00 PM,1.1
1/1/2023,7:00 PM,1.0
1/1/2023,8:00 PM,1.0
1/1/2023,9:00 PM,0.9
1/1/2023,10:00 PM,0.7
1/1/2023,11:00 PM,0.6
1/1/2023,24:00 AM,0.6
1/2/2023,1:00 AM,0.5
1/2/2023,2:00 AM,0.5
1/2/2023,3:00 AM,0.4
1/2/2023,4:00 AM,0.4
1/2/2023,5:00 AM,0.4
1/2/2023,6:00 AM,0.3
1/2/2023,7:00 AM,0.4
1/2/2023,8:00 AM,0.5
1/2/2023,9:00 AM,1.1
1/2/2023,10:00 AM,1.0
1/2/2023,11:00 AM,0.5
1/2/2023,12:00 PM,0.6
1/2/2023,1:00 PM,0.6
1/2/2023,2:00 PM,0.6
1/2/2023,3:00 PM,0.6
1/2/2023,4:00 PM,0.6
1/2/2023,5:00 PM,0.8
1/2/2023,6:00 PM,1.0
1/2/2023,7:00 PM,1.0
1/2/2023,8:00 PM,0.8
1/2/2023,9:00 PM,0.8
1/2/2023,10:00 PM,0.8
1/2/2023,11:00 PM,0.8
1/2/2023,24:00 AM,0.8
1/3/2023,1:00 AM,0.9
1/3/2023,2:00 AM,1.4
1/3/2023,3:00 AM,1.1
1/3/2023,4:00 AM,1.1
1/3/2023,5:00 AM,1.2
1/3/2023,6:00 AM,1.8
1/3/2023,7:00 AM,1.3
1/3/2023,8:00 AM,1.3
1/3/2023,9:00 AM,2.0
1/3/2023,10:00 AM,1.4
1/3/2023,11:00 AM,1.2
1/3/2023,12:00 PM,2.1
1/3/2023,1:00 PM,1.3
1/3/2023,2:00 PM,1.3
1/3/2023,3:00 PM,1.1
1/3/2023,4:00 PM,1.1
1/3/2023,5:00 PM,1.1
1/3/2023,6:00 PM,1.1
1/3/2023,7:00 PM,1.1
1/3/2023,8:00 PM,1.3
1/3/2023,9:00 PM,1.3
1/3/2023,10:00 PM,1.4
1/3/2023,11:00 PM,1.6
1/3/2023,24:00 AM,2.4
1/4/2023,1:00 AM,3.0
1/4/2023,2:00 AM,3.4
1/4/2023,3:00 AM,3.9
1/4/2023,4:00 AM,4.1
1/4/2023,5:00 AM,4.9
1/4/2023,6:00 AM,5.2
1/4/2023,7:00 AM,4.6
1/4/2023,8:00 AM,4.2
1/4/2023,9:00 AM,4.2
1/4/2023,10:00 AM,3.7
1/4/2023,11:00 AM,3.6
1/4/2023,12:00 PM,2.4
1/4/2023,1:00 PM,1.9
1/4/2023,2:00 PM,1.6
1/4/2023,3:00 PM,1.8
1/4/2023,4:00 PM,1.4
1/4/2023,5:00 PM,1.5
1/4/2023,6:00 PM,1.5
1/4/2023,7:00 PM,1.5
1/4/2023,8:00 PM,1.2
1/4/2023,9:00 PM,0.9
1/4/2023,10:00 PM,1.1
1/4/2023,11:00 PM,1.2
1/4/2023,24:00 AM,1.2
1/5/2023,1:00 AM,1.2
1/5/2023,2:00 AM,1.2
1/5/2023,3:00 AM,2.4
1/5/2023,4:00 AM,4.6
1/5/2023,5:00 AM,5.3
1/5/2023,6:00 AM,5.9
1/5/2023,7:00 AM,4.3
1/5/2023,8:00 AM,7.2
1/5/2023,9:00 AM,10.3
1/5/2023,10:00 AM,8.1
1/5/2023,11:00 AM,6.0
1/5/2023,12:00 PM,6.3
1/5/2023,1:00 PM,6.3
1/5/2023,2:00 PM,5.7
1/5/2023,3:00 PM,5.3
1/5/2023,4:00 PM,5.9
1/5/2023,5:00 PM,6.8
1/5/2023,6:00 PM,8.3
1/5/2023,7:00 PM,9.7
1/5/2023,8:00 PM,9.4
1/5/2023,9:00 PM,9.3
1/5/2023,10:00 PM,8.8
1/5/2023,11:00 PM,9.7
1/5/2023,24:00 AM,9.1
1/6/2023,1:00 AM,8.7
1/6/2023,2:00 AM,10.3
1/6/2023,3:00 AM,9.9
1/6/2023,4:00 AM,9.0
1/6/2023,5:00 AM,11.9
1/6/2023,6:00 AM,10.2
1/6/2023,7:00 AM,10.9
1/6/2023,8:00 AM,10.0
1/6/2023,9:00 AM,8.0
1/6/2023,10:00 AM,8.4
1/6/2023,11:00 AM,8.9
1/6/2023,12:00 PM,9.2
1/6/2023,1:00 PM,4.0
1/6/2023,2:00 PM,1.1
1/6/2023,3:00 PM,0.9
1/6/2023,4:00 PM,1.0
1/6/2023,5:00 PM,0.9
1/6/2023,6:00 PM,1.0
1/6/2023,7:00 PM,1.5
1/6/2023,8:00 PM,1.9
1/6/2023,9:00 PM,1.2
1/6/2023,10:00 PM,2.5
1/6/2023,11:00 PM,4.0
1/6/2023,24:00 AM,2.0
1/7/2023,1:00 AM,1.0
1/7/2023,2:00 AM,2.0
1/7/2023,3:00 AM,1.7
1/7/2023,4:00 AM,2.2
1/7/2023,5:00 AM,2.0
1/7/2023,6:00 AM,2.1
1/7/2023,7:00 AM,2.2
1/7/2023,8:00 AM,2.2
1/7/2023,9:00 AM,3.1
1/7/2023,10:00 AM,4.0
1/7/2023,11:00 AM,4.6
1/7/2023,12:00 PM,5.8
1/7/2023,1:00 PM,5.4
1/7/2023,2:00 PM,4.8
1/7/2023,3:00 PM,1.4
1/7/2023,4:00 PM,1.2
1/7/2023,5:00 PM,1.2
1/7/2023,6:00 PM,1.6
1/7/2023,7:00 PM,3.9
1/7/2023,8:00 PM,7.4
1/7/2023,9:00 PM,8.0
1/7/2023,10:00 PM,7.0
1/7/2023,11:00 PM,6.3
1/7/2023,24:00 AM,6.2
1/8/2023,1:00 AM,6.5
1/8/2023,2:00 AM,6.4
1/8/2023,3:00 AM,6.3
1/8/2023,4:00 AM,6.5
1/8/2023,5:00 AM,6.2
1/8/2023,6:00 AM,6.6
1/8/2023,7:00 AM,5.7
1/8/2023,8:00 AM,5.8
1/8/2023,9:00 AM,5.3
1/8/2023,10:00 AM,6.3
1/8/2023,11:00 AM,6.9
1/8/2023,12:00 PM,6.7
1/8/2023,1:00 PM,6.4
1/8/2023,2:00 PM,5.6
1/8/2023,3:00 PM,4.9
1/8/2023,4:00 PM,5.8
1/8/2023,5:00 PM,7.0
1/8/2023,6:00 PM,7.2
1/8/2023,7:00 PM,7.0
1/8/2023,8:00 PM,6.8
1/8/2023,9:00 PM,6.4
1/8/2023,10:00 PM,6.8
1/8/2023,11:00 PM,6.3
1/8/2023,24:00 AM,5.8
1/9/2023,1:00 AM,5.9
1/9/2023,2:00 AM,6.3
1/9/2023,3:00 AM,6.5
1/9/2023,4:00 AM,6.4
1/9/2023,5:00 AM,6.9
1/9/2023,6:00 AM,6.9
1/9/2023,7:00 AM,7.0
1/9/2023,8:00 AM,6.8
1/9/2023,9:00 AM,7.0
1/9/2023,10:00 AM,6.9
1/9/2023,11:00 AM,7.4
1/9/2023,12:00 PM,7.6
1/9/2023,1:00 PM,5.5
1/9/2023,2:00 PM,5.9
1/9/2023,3:00 PM,7.9
1/9/2023,4:00 PM,7.7
1/9/2023,5:00 PM,6.4
1/9/2023,6:00 PM,4.4
1/9/2023,7:00 PM,7.3
1/9/2023,8:00 PM,8.6
1/9/2023,9:00 PM,10.3
1/9/2023,10:00 PM,15.3
1/9/2023,11:00 PM,25.5
1/9/2023,24:00 AM,30.9
1/10/2023,1:00 AM,32.4
1/10/2023,2:00 AM,21.1
1/10/2023,3:00 AM,18.9
1/10/2023,4:00 AM,16.1
1/10/2023,5:00 AM,14.0
1/10/2023,6:00 AM,17.3
1/10/2023,7:00 AM,18.5
