ide_sectn_trafc,num_sectn_trafc,des_debut_sous_route,des_fin_sous_route,rtss_debut_chaing,rtss_fin_chaing,annee_en_cours,annee2,annee3,annee4,annee5,annee6,annee7,annee8,annee9,annee10,dat_debut_sectn_trafc,rtss_debut,val_chang_debut,rtss_fin,val_chang_fin,djma_annee_1,val_djma_annee_1,djma_annee_2,val_djma_annee_2,djma_annee_3,val_djma_annee_3,djma_annee_4,val_djma_annee_4,djma_annee_5,val_djma_annee_5,djma_annee_6,val_djma_annee_6,djma_annee_7,val_djma_annee_7,djma_annee_8,val_djma_annee_8,djma_annee_9,val_djma_annee_9,djma_annee_10,val_djma_annee_10,djme_annee_1,val_djme_annee_1,djme_annee_2,val_djme_annee_2,djme_annee_3,val_djme_annee_3,djme_annee_4,val_djme_annee_4,djme_annee_5,val_djme_annee_5,djme_annee_6,val_djme_annee_6,djme_annee_7,val_djme_annee_7,djme_annee_8,val_djme_annee_8,djme_annee_9,val_djme_annee_9,djme_annee_10,val_djme_annee_10,djmh_annee_1,val_djmh_annee_1,djmh_annee_2,val_djmh_annee_2,djmh_annee_3,val_djmh_annee_3,djmh_annee_4,val_djmh_annee_4,djmh_annee_5,val_djmh_annee_5,djmh_annee_6,val_djmh_annee_6,djmh_annee_7,val_djmh_annee_7,djmh_annee_8,val_djmh_annee_8,djmh_annee_9,val_djmh_annee_9,djmh_annee_10,val_djmh_annee_10,cam_annee_1,val_cam_annee_1,cam_annee_2,val_cam_annee_2,cam_annee_3,val_cam_annee_3,cam_annee_4,val_cam_annee_4,cam_annee_5,val_cam_annee_5,cam_annee_6,val_cam_annee_6,cam_annee_7,val_cam_annee_7,cam_annee_8,val_cam_annee_8,cam_annee_9,val_cam_annee_9,cam_annee_10,val_cam_annee_10,val_30e_heure,index_agreg,index_sectn,index_donnees,objectid,url_index_agregees,url_index_section,url_index_donnees
29522,"9936004000",ch de St-Isidore (rte des Pères),rte Lemieux,99360-01-017-000C (16918),99360-01-017-000C (21771),2024 DJMA:600 / DJME:650 / DJMH:540 / %cam: / 30e h:70,2023 DJMA:600 / DJME:650 / DJMH:540 / %cam:,2022 DJMA:600 / DJME:650 / DJMH:540 / %cam:8.6,2021 DJMA:530 / DJME: / DJMH: / %cam:,2020 DJMA:490 / DJME: / DJMH: / %cam:,2019 DJMA:520 / DJME:560 / DJMH:470 / %cam:8.5,2018 DJMA:620 / DJME:670 / DJMH:560 / %cam:,2017 DJMA:620 / DJME:670 / DJMH:560 / %cam:,2016 DJMA:580 / DJME:630 / DJMH:520 / %cam:7.3,2015 DJMA:580 / DJME:630 / DJMH:520 / %cam:,2023/11/28,99360-01-017-000C,16918,99360-01-017-000C,21771,2024,600,2023,600,2022,600,2021,530,2020,490,2019,520,2018,620,2017,620,2016,580,2015,580,2024,650,2023,650,2022,650,2021,,2020,,2019,560,2018,670,2017,670,2016,630,2015,630,2024,540,2023,540,2022,540,2021,,2020,,2019,470,2018,560,2017,560,2016,520,2015,520,2024,,2023,,2022,8.6,2021,,2020,,2019,8.5,2018,,2017,,2016,7.3,2015,,70,O,N,N,2,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/9936004000_agreg.pdf target=\""_blank\"">9936004000_agreg.pdf</a> <br>",,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/9936004000-2022-donnees.xlsx target=\""_blank\"">9936004000-2022-donnees.xlsx</a> <br> <a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/9936004000-2019-donnees.xlsx target=\""_blank\"">9936004000-2019-donnees.xlsx</a>"
30228,"0013884000",Rue de Bretagne,"R-389, av du Labrador",00138-92-300-000D (1231),00138-92-300-000D (3079),2024 DJMA:18200 / DJME:19700 / DJMH:16300 / %cam: / 30e h:2030,2023 DJMA:17700 / DJME:19100 / DJMH:15900 / %cam:,2022 DJMA:17200 / DJME:18600 / DJMH:15400 / %cam:5.9,2021 DJMA: / DJME: / DJMH: / %cam:,2020 DJMA: / DJME: / DJMH: / %cam:,2019 DJMA:17100 / DJME:18500 / DJMH:15300 / %cam:,2018 DJMA:17400 / DJME:18800 / DJMH:15600 / %cam:,2017 DJMA:17200 / DJME:18600 / DJMH:15400 / %cam:,2016 DJMA:17500 / DJME:18900 / DJMH:15700 / %cam:5.9,2015 DJMA:18900 / DJME:20400 / DJMH:17000 / %cam:,2024/04/25,00138-92-300-000D,1231,00138-92-300-000D,3079,2024,18200,2023,17700,2022,17200,2021,0,2020,0,2019,17100,2018,17400,2017,17200,2016,17500,2015,18900,2024,19700,2023,19100,2022,18600,2021,,2020,,2019,18500,2018,18800,2017,18600,2016,18900,2015,20400,2024,16300,2023,15900,2022,15400,2021,,2020,,2019,15300,2018,15600,2017,15400,2016,15700,2015,17000,2024,,2023,,2022,5.9,2021,,2020,,2019,0,2018,,2017,,2016,5.9,2015,,2030,O,N,N,3,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0013884000_agreg.pdf target=\""_blank\"">0013884000_agreg.pdf</a> <br>",,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0013884000-2022-donnees.xlsx target=\""_blank\"">0013884000-2022-donnees.xlsx</a>"
22055,"0021617400",entrée secondaire c.h.u.s.,chemin Duplessis,00216-01-088-000C (133),00216-01-088-000C (335),2024 DJMA: / DJME: / DJMH: / %cam: / 30e h:,2023 DJMA: / DJME: / DJMH: / %cam:,2022 DJMA: / DJME: / DJMH: / %cam:,2021 DJMA: / DJME: / DJMH: / %cam:,2020 DJMA: / DJME: / DJMH: / %cam:,2019 DJMA: / DJME: / DJMH: / %cam:,2018 DJMA: / DJME: / DJMH: / %cam:,2017 DJMA:7200 / DJME:7800 / DJMH:6500 / %cam:7.3,2016 DJMA: / DJME: / DJMH: / %cam:,2015 DJMA: / DJME: / DJMH: / %cam:,2018/04/05,00216-01-088-000C,133,00216-01-088-000C,335,2024,0,2023,0,2022,0,2021,0,2020,0,2019,0,2018,0,2017,7200,2016,0,2015,0,2024,0,2023,0,2022,0,2021,,2020,,2019,0,2018,0,2017,7800,2016,0,2015,0,2024,0,2023,0,2022,0,2021,,2020,,2019,0,2018,0,2017,6500,2016,0,2015,0,2024,,2023,,2022,0,2021,,2020,,2019,0,2018,,2017,"7.3",2016,0,2015,,0,O,N,N,3255,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0021617400_agreg.pdf target=\""_blank\"">0021617400_agreg.pdf</a> <br>",,
18053,"8481507000",rue du Versant,10e Rang,84815-01-015-000C (2452),84815-01-015-000C (2829),2024 DJMA: / DJME: / DJMH: / %cam: / 30e h:,2023 DJMA: / DJME: / DJMH: / %cam:,2022 DJMA: / DJME: / DJMH: / %cam:,2021 DJMA: / DJME: / DJMH: / %cam:,2020 DJMA: / DJME: / DJMH: / %cam:,2019 DJMA: / DJME: / DJMH: / %cam:,2018 DJMA:9200 / DJME:9900 / DJMH:8300 / %cam:,2017 DJMA:9400 / DJME:10200 / DJMH:8400 / %cam:,2016 DJMA:9000 / DJME:9700 / DJMH:8100 / %cam:,2015 DJMA:8900 / DJME:9600 / DJMH:8000 / %cam:,2013/10/28,84815-01-015-000C,2452,84815-01-015-000C,2829,2024,0,2023,0,2022,0,2021,0,2020,0,2019,0,2018,9200,2017,9400,2016,9000,2015,8900,2024,0,2023,0,2022,0,2021,,2020,,2019,0,2018,9900,2017,10200,2016,9700,2015,9600,2024,0,2023,0,2022,0,2021,,2020,,2019,0,2018,8300,2017,8400,2016,8100,2015,8000,2024,,2023,,2022,0,2021,,2020,,2019,0,2018,,2017,,2016,0,2015,,0,O,N,N,6,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/8481507000_agreg.pdf target=\""_blank\"">8481507000_agreg.pdf</a> <br>",,
32274,"0025310000","Rue Principale, East Hereford","R-206, ch Léon-Gérin",00253-01-010-000C (6701),00253-01-040-000C (4740),2024 DJMA:740 / DJME:1030 / DJMH:500 / %cam:15.1 / 30e h:110,2023 DJMA:680 / DJME:930 / DJMH:480 / %cam:,2022 DJMA:660 / DJME:900 / DJMH:460 / %cam:,2021 DJMA:710 / DJME:870 / DJMH:570 / %cam:20.2,2020 DJMA:550 / DJME: / DJMH: / %cam:,2019 DJMA:580 / DJME:790 / DJMH:410 / %cam:,2018 DJMA:600 / DJME:820 / DJMH:420 / %cam:16.3,2017 DJMA:610 / DJME:840 / DJMH:430 / %cam:,2016 DJMA:610 / DJME:840 / DJMH:430 / %cam:,2015 DJMA:610 / DJME:840 / DJMH:430 / %cam:16.7,2025/01/01,00253-01-010-000C,6701,00253-01-040-000C,4740,2024,740,2023,680,2022,660,2021,710,2020,550,2019,580,2018,600,2017,610,2016,610,2015,610,2024,1030,2023,930,2022,900,2021,"870.0",2020,,2019,790,2018,820,2017,840,2016,840,2015,840,2024,500,2023,480,2022,460,2021,"570.0",2020,,2019,410,2018,420,2017,430,2016,430,2015,430,2024,"15.1",2023,,2022,0,2021,"20.2",2020,,2019,0,2018,"16.3",2017,,2016,0,2015,"16.7",110,O,N,N,3465,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0025310000_agreg.pdf target=\""_blank\"">0025310000_agreg.pdf</a> <br>",,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0025310000-2024-donnees.xlsx target=\""_blank\"">0025310000-2024-donnees.xlsx</a> <br> <a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0025310000-2021-donnees.xlsx target=\""_blank\"">0025310000-2021-donnees.xlsx</a> <br> <a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0025310000-2018-donnees.xlsx target=\""_blank\"">0025310000-2018-donnees.xlsx</a>"
23125,"0004061001",Rue de Nemours/boul Henri-Bourassa,A-40 Ouest,00040-08-101-34A0 (0),00040-08-101-34A0 (668),2024 DJMA: / DJME: / DJMH: / %cam:6.5 / 30e h:,2023 DJMA: / DJME: / DJMH: / %cam:7.5,2022 DJMA: / DJME: / DJMH: / %cam:,2021 DJMA: / DJME: / DJMH: / %cam:9,2020 DJMA: / DJME: / DJMH: / %cam:,2019 DJMA: / DJME: / DJMH: / %cam:,2018 DJMA: / DJME: / DJMH: / %cam:,2017 DJMA: / DJME: / DJMH: / %cam:,2016 DJMA: / DJME: / DJMH: / %cam:,2015 DJMA: / DJME: / DJMH: / %cam:,2019/02/05,00040-08-101-34A0,0,00040-08-101-34A0,668,2024,0,2023,0,2022,0,2021,0,2020,0,2019,0,2018,0,2017,0,2016,0,2015,0,2024,0,2023,0,2022,0,2021,,2020,,2019,0,2018,0,2017,0,2016,0,2015,0,2024,0,2023,0,2022,0,2021,,2020,,2019,0,2018,0,2017,0,2016,0,2015,0,2024,"6.5",2023,"7.5",2022,0,2021,"9.0",2020,,2019,0,2018,,2017,,2016,0,2015,,0,N,N,N,8,,,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0004061001-2024-donnees.xlsx target=\""_blank\"">0004061001-2024-donnees.xlsx</a> <br> <a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0004061001-2023-donnees.xlsx target=\""_blank\"">0004061001-2023-donnees.xlsx</a> <br> <a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0004061001-2021-donnees.xlsx target=\""_blank\"">0004061001-2021-donnees.xlsx</a> <br> <a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0004061001-2019-donnees.xlsx target=\""_blank\"">0004061001-2019-donnees.xlsx</a> <br> <a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0004061001-2018-donnees.xlsx target=\""_blank\"">0004061001-2018-donnees.xlsx</a>"
33098,"0005048000","Aéroport de Mirabel, boul Henri-Fabre Est, S-288",Bretelles A-15 Sud,00050-04-025-000D (9229),00050-04-025-000D (12094),2024 DJMA:34000 / DJME:37000 / DJMH:30000 / %cam: / 30e h:3700,2023 DJMA:33000 / DJME:36000 / DJMH:30000 / %cam:12.5,2022 DJMA:29000 / DJME:31000 / DJMH:26000 / %cam:,2021 DJMA:28000 / DJME: / DJMH: / %cam:,2020 DJMA:26000 / DJME:34000 / DJMH:24000 / %cam:14.2,2019 DJMA:28000 / DJME:30000 / DJMH:25000 / %cam:,2018 DJMA:28000 / DJME:30000 / DJMH:25000 / %cam:,2017 DJMA:28000 / DJME:30000 / DJMH:25000 / %cam:10.1,2016 DJMA:26000 / DJME:28000 / DJMH:23000 / %cam:10,2015 DJMA:24700 / DJME:26700 / DJMH:22200 / %cam:,2025/11/20,00050-04-025-000D,9229,00050-04-025-000D,12094,2024,34000,2023,33000,2022,29000,2021,28000,2020,26000,2019,28000,2018,28000,2017,28000,2016,26000,2015,24700,2024,37000,2023,36000,2022,31000,2021,,2020,"34000.0",2019,30000,2018,30000,2017,30000,2016,28000,2015,26700,2024,30000,2023,30000,2022,26000,2021,,2020,"24000.0",2019,25000,2018,25000,2017,25000,2016,23000,2015,22200,2024,,2023,"12.5",2022,0,2021,,2020,"14.2",2019,0,2018,,2017,"10.1",2016,10,2015,,3700,O,N,N,9,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0005048000_agreg.pdf target=\""_blank\"">0005048000_agreg.pdf</a> <br>",,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0005048000-2023-donnees.xlsx target=\""_blank\"">0005048000-2023-donnees.xlsx</a> <br> <a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0005048000-2020-donnees.xlsx target=\""_blank\"">0005048000-2020-donnees.xlsx</a>"
24206,"0039346600",5e avenue est,4 ième avenue est,00393-02-011-000C (1160),00393-02-011-000C (1287),2024 DJMA: / DJME: / DJMH: / %cam: / 30e h:,2023 DJMA: / DJME: / DJMH: / %cam:,2022 DJMA: / DJME: / DJMH: / %cam:,2021 DJMA: / DJME: / DJMH: / %cam:,2020 DJMA: / DJME: / DJMH: / %cam:,2019 DJMA: / DJME: / DJMH: / %cam:,2018 DJMA: / DJME: / DJMH: / %cam:,2017 DJMA: / DJME: / DJMH: / %cam:,2016 DJMA: / DJME: / DJMH: / %cam:,2015 DJMA: / DJME: / DJMH: / %cam:,2019/05/06,00393-02-011-000C,1160,00393-02-011-000C,1287,2024,0,2023,0,2022,0,2021,0,2020,0,2019,0,2018,0,2017,0,2016,0,2015,0,2024,0,2023,0,2022,0,2021,,2020,,2019,0,2018,0,2017,0,2016,0,2015,0,2024,0,2023,0,2022,0,2021,,2020,,2019,0,2018,0,2017,0,2016,0,2015,0,2024,,2023,,2022,0,2021,,2020,,2019,0,2018,,2017,,2016,0,2015,,0,O,N,N,10,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0039346600_agreg.pdf target=\""_blank\"">0039346600_agreg.pdf</a> <br>",,
26704,"6933002000",Chemin des Normand,Route 220,69330-05-001-000C (7286),69330-07-000-000C (3139),2024 DJMA:860 / DJME:1030 / DJMH:690 / %cam:17.6 / 30e h:140,2023 DJMA:790 / DJME:950 / DJMH:640 / %cam:,2022 DJMA:770 / DJME:920 / DJMH:620 / %cam:,2021 DJMA:830 / DJME:1010 / DJMH:670 / %cam:11.6,2020 DJMA:640 / DJME: / DJMH: / %cam:,2019 DJMA:680 / DJME:810 / DJMH:550 / %cam:,2018 DJMA:700 / DJME:840 / DJMH:560 / %cam:7.3,2017 DJMA:610 / DJME:730 / DJMH:490 / %cam:,2016 DJMA:610 / DJME:730 / DJMH:490 / %cam:,2015 DJMA:610 / DJME:730 / DJMH:490 / %cam:12.4,2021/04/29,69330-05-001-000C,7286,69330-07-000-000C,3139,2024,860,2023,790,2022,770,2021,830,2020,640,2019,680,2018,700,2017,610,2016,610,2015,610,2024,1030,2023,950,2022,920,2021,"1010.0",2020,,2019,810,2018,840,2017,730,2016,730,2015,730,2024,690,2023,640,2022,620,2021,"670.0",2020,,2019,550,2018,560,2017,490,2016,490,2015,490,2024,"17.6",2023,,2022,0,2021,"11.6",2020,,2019,0,2018,"7.3",2017,,2016,0,2015,"12.4",140,O,N,N,3505,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/6933002000_agreg.pdf target=\""_blank\"">6933002000_agreg.pdf</a> <br>",,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/6933002000-2024-donnees.xlsx target=\""_blank\"">6933002000-2024-donnees.xlsx</a> <br> <a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/6933002000-2021-donnees.xlsx target=\""_blank\"">6933002000-2021-donnees.xlsx</a> <br> <a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/6933002000-2018-donnees.xlsx target=\""_blank\"">6933002000-2018-donnees.xlsx</a>"
27948,"0020256000",rue de Bellechasse,rue Jean-Besré,00202-03-140-000C (5838),00202-03-155-000D (239),2024 DJMA: / DJME: / DJMH: / %cam: / 30e h:,2023 DJMA: / DJME: / DJMH: / %cam:,2022 DJMA:8300 / DJME:8900 / DJMH:7400 / %cam:6.6,2021 DJMA: / DJME: / DJMH: / %cam:,2020 DJMA: / DJME: / DJMH: / %cam:,2019 DJMA: / DJME: / DJMH: / %cam:,2018 DJMA: / DJME: / DJMH: / %cam:,2017 DJMA: / DJME: / DJMH: / %cam:,2016 DJMA: / DJME: / DJMH: / %cam:,2015 DJMA: / DJME: / DJMH: / %cam:,2022/02/21,00202-03-140-000C,5838,00202-03-155-000D,239,2024,0,2023,0,2022,8300,2021,0,2020,0,2019,0,2018,0,2017,0,2016,0,2015,0,2024,0,2023,0,2022,8900,2021,,2020,,2019,0,2018,0,2017,0,2016,0,2015,0,2024,0,2023,0,2022,7400,2021,,2020,,2019,0,2018,0,2017,0,2016,0,2015,0,2024,,2023,,2022,6.6,2021,,2020,,2019,0,2018,,2017,,2016,0,2015,,0,O,N,N,12,"<a href=https://ws.mapserver.transports.gouv.qc.ca/donnees/geomatique/CIR/DebitCirculation/0020256000_agreg.pdf target=\""_blank\"">0020256000_agreg.pdf</a> <br>",,
