Zone,PM25,Datetime_UTC,fire_count_regional,frp_regional_sum,hfi_weighted,fwi_mean,fire_count_local,frp_local_sum,PM25_lag_1h,PM25_lag_6h,PM25_lag_24h,PM25_lag_48h,PM25_roll_24h_mean,PM25_roll_24h_max,PM25_roll_7d_mean,frp_roll_24h_sum,frp_roll_72h_sum,hour,day_of_week,month,is_wildfire_season,season,alert
Lower Fraser Valley,6.351373,2022-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.351373,6.351373,6.351373,0.0,0.0,9,5,1,0,Winter,0
Lower Fraser Valley,6.299942,2022-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,6.351373,,,,6.3256575,6.351373,6.3256575,0.0,0.0,10,5,1,0,Winter,0
Lower Fraser Valley,5.474733,2022-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,6.299942,,,,6.042015999999999,6.351373,6.042015999999999,0.0,0.0,11,5,1,0,Winter,0
Lower Fraser Valley,4.187194,2022-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,5.474733,,,,5.5783105,6.351373,5.5783105,0.0,0.0,12,5,1,0,Winter,0
Lower Fraser Valley,3.418764,2022-01-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,4.187194,,,,5.1464012,6.351373,5.1464012,0.0,0.0,13,5,1,0,Winter,0
Lower Fraser Valley,2.879819,2022-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.418764,,,,4.7686375,6.351373,4.7686375,0.0,0.0,14,5,1,0,Winter,0
Lower Fraser Valley,2.877056,2022-01-01 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.879819,6.351373,,,4.498411571428571,6.351373,4.498411571428571,0.0,0.0,15,5,1,0,Winter,0
Lower Fraser Valley,2.173626,2022-01-01 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.877056,6.299942,,,4.207813375,6.351373,4.207813375,0.0,0.0,16,5,1,0,Winter,0
Lower Fraser Valley,3.429551,2022-01-01 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.173626,5.474733,,,4.121339777777778,6.351373,4.121339777777778,0.0,0.0,17,5,1,0,Winter,0
Lower Fraser Valley,3.354083,2022-01-01 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.429551,4.187194,,,4.0446140999999995,6.351373,4.0446140999999995,0.0,0.0,18,5,1,0,Winter,0
Lower Fraser Valley,3.142944,2022-01-01 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.354083,3.418764,,,3.9626440909090905,6.351373,3.9626440909090905,0.0,0.0,19,5,1,0,Winter,0
Lower Fraser Valley,3.727528,2022-01-01 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.142944,2.879819,,,3.943051083333333,6.351373,3.943051083333333,0.0,0.0,20,5,1,0,Winter,0
Lower Fraser Valley,3.237195,2022-01-01 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.727528,2.877056,,,3.8887544615384613,6.351373,3.8887544615384613,0.0,0.0,21,5,1,0,Winter,0
Lower Fraser Valley,3.1044,2022-01-01 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.237195,2.173626,,,3.832729142857143,6.351373,3.832729142857143,0.0,0.0,22,5,1,0,Winter,0
Lower Fraser Valley,3.153861,2022-01-01 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.1044,3.429551,,,3.7874712666666666,6.351373,3.7874712666666666,0.0,0.0,23,5,1,0,Winter,0
Lower Fraser Valley,2.701264,2022-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.153861,3.354083,,,3.7195833124999997,6.351373,3.7195833124999997,0.0,0.0,0,6,1,0,Winter,0
Lower Fraser Valley,3.221887,2022-01-02 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.701264,3.142944,,,3.6903070588235294,6.351373,3.6903070588235294,0.0,0.0,1,6,1,0,Winter,0
Lower Fraser Valley,3.382222,2022-01-02 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.221887,3.727528,,,3.673191222222222,6.351373,3.673191222222222,0.0,0.0,2,6,1,0,Winter,0
