iter	Passed	Remaining
0	2	218
1	4	197
2	5	190
3	8	206
4	10	199
5	12	193
6	14	188
7	16	184
8	18	186
9	20	186
10	22	183
11	24	179
12	26	178
13	28	176
14	30	172
15	32	169
16	34	168
17	36	167
18	39	167
19	41	164
20	42	161
21	44	158
22	46	157
23	49	156
24	51	153
25	53	150
26	54	148
27	57	146
28	59	145
29	61	143
30	63	141
31	65	138
32	67	137
33	70	136
34	72	134
35	74	133
36	77	131
37	79	130
38	81	128
39	83	125
40	86	124
41	89	123
42	92	122
43	96	122
44	100	122
45	103	121
46	106	120
47	109	118
48	111	115
49	113	113
50	115	110
51	117	108
52	119	106
53	121	103
54	123	101
55	125	98
56	128	96
57	129	94
58	132	91
59	134	89
60	136	87
61	138	85
62	140	82
63	142	80
64	144	77
65	147	75
66	151	74
67	154	72
68	157	70
69	159	68
70	161	65
71	163	63
72	167	61
73	169	59
74	171	57
75	173	54
76	175	52
77	178	50
78	180	47
79	182	45
80	184	43
81	187	41
82	189	38
83	191	36
84	193	34
85	196	32
86	199	29
87	201	27
88	203	25
89	205	22
90	208	20
91	210	18
92	212	16
93	214	13
94	217	11
95	219	9
96	221	6
97	223	4
98	226	2
99	228	0
