SERIAL_CODE,EMS_ID,STATION_NAME,LOCATION,CITY,CATEGORY,STATION_ENVIRONMENT,STATION_OWNER,DATE_ESTABLISHED,NOTES,LATITUDE,LONGITUDE,HEIGHT(m),STATUS,URL,URL2,PM25_INSTRUMENT,PM25,PM25_UNIT,NO,NO_UNIT,NO2,NO2_UNIT,NOX,NOX_UNIT,O3,O3_UNIT,PM10,PM10_UNIT,SO2,SO2_UNIT,TRS,TRS_UNIT,H2S,H2S_UNIT,WDIR_VEC,WDIR_UNIT,WSPD_SCLR,WSPD_UNIT,TEMP,TEMP_UNIT,HUMIDITY,HUMIDITY_UNIT,PRECIPITATION,PRECIPITATION_UNIT,BAR_PRESSURE,PRESSURE_UNIT,SNOWDEPTH,SNOWDEPTH_UNIT,CO,CO_UNIT,PM25_24,NO_24,NO2_24,NOX_24,O3_8,PM10_24,SO2_24,TRS_24,H2S_24,DATE,DATE_PST,URL_Station
428,E289309,Abbotsford A Columbia Street,"",Abbotsford,METRO VANCOUVER,"",MVRD,"","",49.0215,-122.3265,65,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=428,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=429,PM25 SHARP5030,1.6,ug/m3,0.3,ppb,2,ppb,"","",31.3,ppb,3.2,ug/m3,0.2,ppb,"","","","",192.2,Deg.,2.99,m/s,10,Deg.C,89.1,% RH,"","","","","","",0.14,ppm,2,0.7,4.7,"",17.8,6.3,0.2,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=428
261,E238212,Abbotsford Central,"",Abbotsford,METRO VANCOUVER,"",MVRD,"","",49.0426,-122.3098,58,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=261,,PM25 SHARP5030,2.3,ug/m3,1.6,ppb,6.2,ppb,"","",23.3,ppb,4.5,ug/m3,0.3,ppb,"","","","",196.4,Deg.,1.59,m/s,10.1,Deg.C,"",% RH,"","","","","","","","",2.4,1.3,8.2,"",14.7,4.4,0.3,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=261
598,598,Agassiz Centennial Park,"",Agassiz,METRO VANCOUVER,"",MVRD,"","",49.23836,-121.77478,56,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=598,,PM25_SHARP5030i,2.3,ug/m3,0.6,ppb,4.1,ppb,"","",15,ppb,"","","","","","","","",306.9,Deg.,0.9,m/s,8.3,Deg.C,99.5,% RH,"","","","","","","","",1.3,1.3,3.4,"",9.2,"","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=598
450,E295729,Bessborough 237 Road,"",None,OPERATIONAL,"",INDUSTRY,"","",55.791944,-120.483611,665,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=450,,"","","","","","","","","","","","","",0.3,ppb,"","",1.5,ppb,95.7,Deg.,1.69,m/s,-6.5,Deg.C,"","","","","","","","","","","","","","","","",0.4,"",1.2,Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=450
251,E244515,Burnaby Burmount,"",Burnaby,METRO VANCOUVER,"",MVRD,"","",49.2667,-122.9355,101,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=251,,"","","","","","","","","","","","","","","",0.2,ppb,"","",103.2,Deg.,1.72,m/s,9.5,Deg.C,"","","","","","","","","","","","","","","","","",0.2,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=251
242,0310177,Burnaby Kensington Park,"",Burnaby,METRO VANCOUVER,"",MVRD,"","",49.2792,-122.9707,104,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=242,,PM25 SHARP5030,2.4,ug/m3,1.3,ppb,10,ppb,"","",20.7,ppb,3.7,ug/m3,0.2,ppb,0.3,ppb,"","",14.2,Deg.,1.53,m/s,7.3,Deg.C,"","","","","","","","","","",2,1.3,7.7,"",22.8,3.8,0.1,0.4,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=242
313,E206270,Burnaby Mountain,"",Burnaby,METRO VANCOUVER,"",MVRD,"","",49.2798,-122.9223,360,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=313,,"","","",1.3,ppb,6.9,ppb,"","",21,ppb,"","","","","","","","",164.8,Deg.,2.67,m/s,"",Deg.C,"",% RH,"","","","","","","","","",0.5,2.4,"",22.6,"","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=313
253,E244517,Burnaby North Eton,"",Burnaby,METRO VANCOUVER,"",MVRD,"","",49.2875,-123.008,70,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=253,,"","","","","","","","","","","",1.9,ug/m3,0.1,ppb,0.4,ppb,"","",48.2,Deg.,1.4,m/s,7.4,Deg.C,"","","","","","","","","","","","","","","",3.3,0.8,0.4,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=253
249,E207418,Burnaby South,"",Burnaby,METRO VANCOUVER,"",MVRD,"","",49.2152,-122.9857,122,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=249,,PM25_T640,3.9,ug/m3,1.1,ppb,7.8,ppb,"","",22.1,ppb,6.8,ug/m3,0,ppb,"","","","",144.5,Deg.,2.48,m/s,9,Deg.C,99.8,% RH,"","","","","","",0.28,ppm,2.9,0.6,10.3,"",20.8,5.1,0,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=249
439,E292669,Burns Lake Sheraton East,"",Burns Lake,OPERATIONAL,"",INDUSTRY,"","",54.1527,-125.4495,679,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=439,,"","","","","","","","","","","","","","","","","","","",123.8,Deg.,0.6,m/s,3.7,Deg.C,91.2,% RH,"","","","","","","","","","","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=439
26,0260021,Castlegar Hospital,"",Castlegar,OPERATIONAL,"",INDUSTRY,"","",49.3144,-117.6605,455,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=26,,"","","","","","","","","","","","","","","",1.1,ppb,"","","","","","","","","","","","","","","","","","","","","","","","","",0.9,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=26
600,600,Castlegar Mill Road,"",Castlegar,OPERATIONAL,"",INDUSTRY,"","",49.3345,-117.7138,431,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=600,,"","","","","","","","","","","","","","","","","","","",256.3,Deg.,1.2,m/s,4.4,Deg.C,"","","","","","","","","","","","","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=600
419,E286369,Castlegar Zinio Park,"",Castlegar,OPERATIONAL,"",ENV,"","",49.317698,-117.661527,407,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=419,,PM25_SHARP5030i,6.9,ug/m3,0.6,ppb,5.1,ppb,"","",7.9,ppb,9.2,ug/m3,0.4,ppb,"","","","","","","","","","","","","","","","","","","","",12.9,3,5,"",5.1,12.5,0.3,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=419
500,E220891,Chilliwack Airport,"",Chilliwack,METRO VANCOUVER,"",MVRD,"","",49.1558,-121.9403,12,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=500,,PM25_T640,2.5,ug/m3,2.8,ppb,9.6,ppb,"","",15.1,ppb,4.2,ug/m3,0.3,ppb,"","","","",245,Deg.,0.5,m/s,8.7,Deg.C,94.2,% RH,"","","","","","",0.22,ppm,2,2.1,5.8,"",11,4.1,0.3,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=500
260,E242892,Coquitlam Douglas College,"",Coquitlam,METRO VANCOUVER,"",MVRD,"","",49.2883,-122.7916,38,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=260,,"","","",0.4,ppb,4.9,ppb,"","",21.8,ppb,"","","","","","","","",65.4,Deg.,1.25,m/s,8,Deg.C,99.9,% RH,"","","","","","","",ppm,"",0.6,7.5,"",24,"","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=260
564,E316070,Crofton Elementary,"",Crofton,OPERATIONAL,"",INDUSTRY,"","",48.86,-123.64388889,38,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=564,,BAM1020,"",ug/m3,"","","","","","","","","","","",ppb,"",ppb,"","",272.7,Deg.,0.9,m/s,11.7,Deg.C,88,% RH,"","","",kPa,"","","","","","","","","","",1.1,0.5,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=564
39,E220217,Crofton Substation,"",Crofton,OPERATIONAL,"",INDUSTRY,"","",48.874529,-123.653929,22,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=39,,BAM1020,"",ug/m3,"","","","","","","","","","","","",0,ppb,"","",109.7,Deg.,1.2,m/s,11.3,Deg.C,95,% RH,"","","","","","","","","","","","","","","",0,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=39
